时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_11_17_27_20_0077,8.361120,1.499702,1.502693,0.327160,-0.545532,0.179891
2025_07_11_17_27_20_0106,8.433503,1.537987,2.264208,0.277094,-0.362312,0.249131
2025_07_11_17_27_20_0132,9.070593,1.916651,1.766501,0.436879,-0.293072,0.321567
2025_07_11_17_27_20_0154,10.043275,2.625525,1.402194,0.447531,-0.220636,0.300263
2025_07_11_17_27_20_0179,10.454841,2.860620,0.400798,0.299464,-0.156856,0.198000
2025_07_11_17_27_20_0205,11.312667,2.918047,0.913460,0.167375,-0.333551,0.119173
2025_07_11_17_27_20_0247,12.304492,1.840081,0.817747,0.156856,-0.354856,0.088281
2025_07_11_17_27_20_0274,13.013366,1.523630,0.199801,-0.024234,-0.240876,0.139412
2025_07_11_17_27_20_0300,13.636098,1.222134,0.309871,-0.275629,-0.129160,0.231022
2025_07_11_17_27_20_0334,13.837693,0.057428,0.281157,-0.394935,-0.263246,0.404655
2025_07_11_17_27_20_0363,14.412569,1.265205,1.368695,-0.618501,-0.088681,0.482284
2025_07_11_17_27_20_0388,13.281960,1.816152,2.149353,-0.668567,0.205324,0.173500
2025_07_11_17_27_20_0416,10.287343,1.077967,1.540978,-0.529021,0.385348,-0.156722
2025_07_11_17_27_20_0440,8.835498,0.168096,0.975673,-0.322499,0.344869,-0.242873
2025_07_11_17_27_20_0464,8.672786,-0.071785,0.812962,-0.054061,0.211715,-0.224764
2025_07_11_17_27_20_0486,8.495717,-0.114855,0.117847,0.066311,0.187215,-0.226895
2025_07_11_17_27_20_0508,8.797213,-0.234497,-0.097508,0.037549,0.182954,-0.213047
2025_07_11_17_27_20_0529,8.950353,0.081954,-0.016152,0.010919,0.236215,-0.176829
2025_07_11_17_27_20_0553,9.266804,0.517448,-0.284148,0.113181,0.147801,-0.253525
2025_07_11_17_27_20_0584,8.859426,1.265205,-0.605384,0.097203,0.048734,-0.263113
2025_07_11_17_27_20_0609,7.642675,1.255634,-1.098904,-0.094539,0.128627,-0.407984
2025_07_11_17_27_20_0631,6.789634,1.106681,-0.815953,-0.227694,0.067909,-0.413310
2025_07_11_17_27_20_0652,6.526424,0.991825,-0.298505,-0.228759,0.000799,-0.395201
2025_07_11_17_27_20_0676,6.588637,1.068395,0.065204,-0.204258,-0.056724,-0.368571
2025_07_11_17_27_20_0697,7.216155,1.212563,0.659223,-0.193606,-0.073767,-0.343005
2025_07_11_17_27_20_0719,7.690532,1.226920,0.616152,-0.015712,-0.130225,-0.365375
2025_07_11_17_27_20_0739,7.743174,0.943969,-0.384646,0.133420,-0.293072,-0.329157
2025_07_11_17_27_20_0764,8.825927,1.418346,-0.087936,0.171636,-0.424096,-0.158853
2025_07_11_17_27_20_0785,9.266804,1.902294,-0.418744,0.125964,-0.328225,-0.100265
2025_07_11_17_27_20_0807,9.443872,2.088934,-0.571885,-0.228759,-0.051397,-0.069373
2025_07_11_17_27_20_0830,9.698111,1.878366,0.161516,-0.530087,0.219172,0.078694
2025_07_11_17_27_20_0852,10.809576,1.744368,0.415155,-0.478955,0.207454,0.241675
2025_07_11_17_27_20_0875,12.107682,1.682154,0.300299,-0.411979,0.105192,0.299197
2025_07_11_17_27_20_0897,12.261421,1.701297,0.827318,-0.547130,0.263911,0.265110
2025_07_11_17_27_20_0920,10.905290,0.848256,1.181456,-0.643001,0.389609,0.298132
2025_07_11_17_27_20_0942,11.480165,0.987039,2.010569,-0.376826,0.242607,0.489741
2025_07_11_17_27_20_0965,11.930614,1.365704,1.564906,-0.022104,0.100931,0.409982
2025_07_11_17_27_20_0988,11.063215,0.771685,1.128814,0.160983,-0.013049,0.260849
2025_07_11_17_27_21_0018,11.169098,-0.445065,1.004387,0.371899,-0.225963,0.317306
2025_07_11_17_27_21_0041,12.256636,-0.823729,0.568295,0.339942,-0.205723,0.437678
2025_07_11_17_27_21_0065,12.404991,-0.728016,0.774676,0.051397,-0.058854,0.455653
2025_07_11_17_27_21_0086,11.556735,-0.728016,1.991427,-0.049800,-0.000266,0.440740
2025_07_11_17_27_21_0110,10.277771,-0.205783,2.106282,0.015180,0.169106,0.481219
2025_07_11_17_27_21_0140,8.974879,0.781257,1.617548,0.182288,0.227694,0.408916
2025_07_11_17_27_21_0165,7.192227,0.967897,1.147957,0.327160,0.164845,0.243805
2025_07_11_17_27_21_0186,6.267401,1.082752,0.894317,0.427292,0.086018,0.196935
2025_07_11_17_27_21_0210,6.272186,1.413560,0.731606,0.546598,-0.006658,0.136217
2025_07_11_17_27_21_0231,6.660422,1.537987,0.520439,0.587077,-0.092942,0.053128
2025_07_11_17_27_21_0256,7.752745,1.590629,0.712463,0.558315,-0.160051,-0.052330
2025_07_11_17_27_21_0287,8.768498,1.174278,0.846461,0.555120,-0.190810,-0.207720
2025_07_11_17_27_21_0308,10.033105,1.097109,1.378266,0.574294,-0.248332,-0.175763
2025_07_11_17_27_21_0329,11.327024,1.466202,1.330409,0.609446,-0.281355,-0.306787
2025_07_11_17_27_21_0352,11.231311,0.531805,1.200599,0.457118,-0.153660,-0.539008
2025_07_11_17_27_21_0374,10.713863,-0.589233,0.553938,0.360182,-0.194006,-0.392006
2025_07_11_17_27_21_0400,11.202598,-0.929013,1.258625,0.139812,-0.302659,0.016911
2025_07_11_17_27_21_0421,12.328421,-0.349352,1.483550,0.088681,-0.184552,0.166043
2025_07_11_17_27_21_0445,12.529418,-0.200997,0.611366,0.131290,-0.214245,0.157521
2025_07_11_17_27_21_0476,11.916257,-0.641875,-0.452243,0.086550,-0.510380,0.383351
2025_07_11_17_27_21_0497,12.769298,0.316451,0.223729,-0.032756,-0.609446,0.651656
2025_07_11_17_27_21_0520,13.156936,2.261816,0.391227,-0.306521,-0.199332,0.478023
2025_07_11_17_27_21_0543,11.212169,2.352743,0.252443,-0.734611,0.294803,0.060585
2025_07_11_17_27_21_0564,8.394620,0.891326,0.376870,-0.700524,0.355522,-0.140744
2025_07_11_17_27_21_0588,7.594819,-0.057428,0.765105,-0.455520,0.199997,-0.020373
2025_07_11_17_27_21_0609,8.763713,-1.106681,1.023530,-0.005060,0.075365,0.104260
2025_07_11_17_27_21_0631,10.886147,-0.785444,-0.111864,0.319703,-0.013049,0.091477
2025_07_11_17_27_21_0655,11.925828,-0.282353,-0.178863,0.076963,0.144605,-0.101330
2025_07_11_17_27_21_0677,10.661222,-0.066999,0.166301,-0.184019,0.361913,-0.180024
2025_07_11_17_27_21_0710,8.380263,0.397807,1.071386,-0.039147,0.429955,-0.357918
2025_07_11_17_27_21_0731,6.833303,0.440878,0.678365,0.021571,0.489608,-0.388810
2025_07_11_17_27_21_0753,6.075975,0.565304,0.285942,0.005592,0.533282,-0.355788
2025_07_11_17_27_21_0780,6.209973,0.613759,-0.169292,0.144073,0.279890,-0.332353
2025_07_11_17_27_21_0811,6.555138,0.589233,-1.012762,0.299464,-0.021571,-0.270569
2025_07_11_17_27_21_0831,7.676175,0.977468,-0.955334,0.217441,-0.071637,-0.268439
2025_07_11_17_27_21_0856,7.747960,0.896112,-0.940978,0.169505,-0.091876,-0.266308
2025_07_11_17_27_21_0876,8.408977,0.991825,-0.950549,0.123833,-0.092942,-0.176829
2025_07_11_17_27_21_0898,9.592826,1.159921,-0.552742,0.011984,0.000799,-0.168440
2025_07_11_17_27_21_0922,10.210773,0.915255,-0.514457,-0.186149,0.184019,-0.034221
2025_07_11_17_27_21_0946,11.753545,1.169492,0.026919,-0.256455,0.268172,0.077629
2025_07_11_17_27_21_0981,12.639487,0.598804,-0.020937,-0.214911,0.235150,0.138347
2025_07_11_17_27_22_0011,12.984653,1.130609,0.089133,-0.290542,0.262846,0.146869
2025_07_11_17_27_22_0033,12.314063,0.584447,0.568295,-0.521565,0.400261,0.183087
2025_07_11_17_27_22_0057,12.572489,0.666401,1.545763,-0.320369,0.239411,0.204392
2025_07_11_17_27_22_0090,11.724831,-0.014357,1.555335,0.078028,-0.133420,0.150065
2025_07_11_17_27_22_0111,11.834901,-0.565304,1.440479,0.186549,-0.232354,0.170304
2025_07_11_17_27_22_0135,12.634702,-1.077967,1.320838,0.122768,-0.258985,0.252327
2025_07_11_17_27_22_0165,12.491133,-0.967299,1.684547,-0.096670,-0.108920,0.208653
2025_07_11_17_27_22_0189,10.962717,-0.790230,2.341377,-0.107322,0.016777,0.162848
2025_07_11_17_27_22_0212,8.979665,0.014357,1.876571,-0.061517,0.181889,0.150065
2025_07_11_17_27_22_0235,6.756135,0.239880,1.440479,-0.013582,0.302260,0.133021
2025_07_11_17_27_22_0266,5.223532,0.302094,0.956531,0.097203,0.283086,0.231022
2025_07_11_17_27_22_0287,6.397212,1.183849,1.210170,-0.082822,0.454455,0.396134
2025_07_11_17_27_22_0312,7.384251,2.122434,1.708475,-0.436479,0.954049,0.186283
2025_07_11_17_27_22_0338,7.321439,1.604986,1.651048,-0.460846,1.022224,-0.071504
2025_07_11_17_27_22_0366,6.876374,0.623330,1.473979,0.065246,0.263911,-0.142874
2025_07_11_17_27_22_0390,7.384251,0.652044,1.363909,0.657382,-0.610512,-0.135418
2025_07_11_17_27_22_0413,9.032308,0.699901,1.330409,0.622229,-0.830882,-0.123700
2025_07_11_17_27_22_0435,10.244272,0.292523,1.785644,0.397465,-0.655251,-0.131157
2025_07_11_17_27_22_0458,10.637293,-0.200997,0.980459,0.041810,-0.368704,-0.054460
2025_07_11_17_27_22_0491,10.991431,-0.862014,1.133600,-0.359782,-0.248332,0.097868
2025_07_11_17_27_22_0511,11.446666,-1.173679,1.943570,-0.323565,-0.392139,0.239544
2025_07_11_17_27_22_0537,12.515060,-0.632303,2.000998,-0.352326,-0.368704,0.495067
2025_07_11_17_27_22_0569,14.508282,0.805185,2.058426,-0.553522,-0.085485,0.376959
2025_07_11_17_27_22_0593,13.401602,0.675972,1.507478,-0.562044,-0.154725,0.064846
2025_07_11_17_27_22_0624,11.547164,0.862613,2.642873,-0.833678,-0.016245,0.094673
2025_07_11_17_27_22_0646,10.287343,0.604188,3.625126,-0.768699,0.308651,-0.042742
2025_07_11_17_27_22_0669,9.400802,-0.205783,3.534199,-0.340608,0.273499,-0.080026
2025_07_11_17_27_22_0689,9.357731,-1.092324,3.332604,0.094007,0.245803,-0.035286
2025_07_11_17_27_22_0713,9.013165,-1.499103,1.545763,0.521032,0.145671,0.108521
2025_07_11_17_27_22_0735,9.003593,-1.111466,0.698106,0.599859,0.054061,0.206522
2025_07_11_17_27_22_0757,8.677571,-0.589233,0.410369,0.572163,-0.009853,0.166043
2025_07_11_17_27_22_0782,8.188837,-0.047856,0.506082,0.483749,-0.106790,0.172435
2025_07_11_17_27_22_0812,8.002197,0.531805,1.033101,0.586011,-0.107855,-0.093874
2025_07_11_17_27_22_0835,6.967301,0.335593,-0.188435,0.603055,-0.106790,-0.279091
2025_07_11_17_27_22_0855,6.358926,-0.157926,-0.931406,0.479488,-0.261115,-0.292939
2025_07_11_17_27_22_0880,6.717850,-0.181855,-0.078365,0.358051,-0.444335,-0.204525
2025_07_11_17_27_22_0902,7.652247,0.201595,0.640080,0.498662,-0.497597,-0.241808
2025_07_11_17_27_22_0926,8.222337,0.144168,-0.260219,0.484814,-0.281355,-0.243938
2025_07_11_17_27_22_0958,9.779466,0.786042,0.185444,0.042876,0.080691,-0.085352
2025_07_11_17_27_22_0980,10.603793,1.207777,0.731606,-0.051930,0.246868,-0.118374
2025_07_11_17_27_23_0001,10.349556,0.948754,0.769891,0.134486,0.108387,-0.107722
2025_07_11_17_27_23_0025,11.111670,1.188635,0.558724,0.285616,0.014647,0.028628
2025_07_11_17_27_23_0056,12.491133,0.924826,0.084347,0.069506,0.139279,0.057389
2025_07_11_17_27_23_0079,13.439887,0.647259,0.875175,-0.255390,0.312912,0.015845
2025_07_11_17_27_23_0101,12.994224,0.052642,1.718047,-0.296934,0.469368,-0.062982
2025_07_11_17_27_23_0124,11.887543,0.148953,1.387837,-0.207454,0.445933,-0.032090
2025_07_11_17_27_23_0146,11.236097,0.172881,1.536192,-0.034886,0.283086,-0.081091
2025_07_11_17_27_23_0168,9.994821,-0.570090,1.335195,0.187614,0.045539,-0.120504
2025_07_11_17_27_23_0191,9.511470,-1.619343,1.435694,0.347399,-0.185617,-0.025699
2025_07_11_17_27_23_0214,9.726824,-2.481357,1.052244,0.288811,-0.199332,0.151130
2025_07_11_17_27_23_0237,10.325628,-2.366502,1.761716,0.024767,-0.095072,0.359916
2025_07_11_17_27_23_0257,10.914861,-1.595415,2.690729,-0.076430,0.052995,0.412112
2025_07_11_17_27_23_0282,9.645468,-0.972084,2.940181,0.098268,0.122235,0.371633
2025_07_11_17_27_23_0304,8.408977,-0.157926,2.456233,0.392139,0.051930,0.435547
2025_07_11_17_27_23_0336,7.446464,0.876970,1.191028,0.583881,0.023169,0.304523
2025_07_11_17_27_23_0360,6.828517,0.766900,0.827318,0.597729,0.014647,0.195870
2025_07_11_17_27_23_0382,7.039086,0.719043,0.731606,0.631816,-0.032223,0.120238
2025_07_11_17_27_23_0414,6.933802,0.369093,0.132203,0.552989,0.052995,-0.104526
2025_07_11_17_27_23_0434,7.168298,-0.613161,-0.538385,0.391074,-0.045006,-0.075765
2025_07_11_17_27_23_0462,9.022736,-1.350748,0.127418,0.218506,-0.304790,0.091477
2025_07_11_17_27_23_0492,14.431711,1.279562,0.400798,-0.071104,-0.169638,-0.285482
2025_07_11_17_27_23_0513,12.783655,0.086740,0.175872,-0.852852,0.421433,-0.874423
2025_07_11_17_27_23_0541,9.722038,-1.600200,2.623730,-1.129680,0.686676,-0.487877
