时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_06_11_14_52_0329,-0.329611,1.327418,9.230313,-0.020506,-0.013715,-0.062716
2025_07_06_11_14_52_0350,-0.138186,1.198206,9.250054,-0.171636,-0.102129,0.022370
2025_07_06_11_14_52_0373,0.283549,1.001396,9.675977,-0.160051,-0.114912,0.074566
2025_07_06_11_14_52_0397,0.600000,0.886541,10.088140,-0.101463,-0.114912,0.035153
2025_07_06_11_14_52_0438,0.552144,0.967897,9.920643,0.016777,-0.027563,-0.080825
2025_07_06_11_14_52_0461,0.317049,1.087538,9.604192,0.023169,0.004394,-0.059520
2025_07_06_11_14_52_0484,0.360120,1.044467,9.666406,0.019973,0.054460,-0.017976
2025_07_06_11_14_52_0506,0.302692,1.106681,9.829716,0.031691,0.089613,-0.027563
2025_07_06_11_14_52_0531,0.159123,1.155135,9.901500,0.048734,0.072569,-0.041411
2025_07_06_11_14_52_0553,0.005982,1.106681,9.675977,0.044473,0.045938,-0.027563
2025_07_06_11_14_52_0583,-0.037089,1.034896,9.494123,0.015712,0.021438,0.015978
2025_07_06_11_14_52_0606,0.068195,0.996611,9.685548,-0.030093,0.004394,0.031957
2025_07_06_11_14_52_0631,0.159123,0.943969,9.853643,-0.034354,0.000133,0.026631
2025_07_06_11_14_52_0662,0.264407,0.953540,9.853643,-0.007723,-0.011584,0.015978
2025_07_06_11_14_52_0684,0.321835,0.953540,9.747761,-0.011984,-0.022237,0.009587
2025_07_06_11_14_52_0707,0.427717,1.101895,9.719048,-0.008788,-0.003063,-0.009587
2025_07_06_11_14_52_0729,0.374477,1.125823,9.714262,-0.011984,0.031025,-0.030759
2025_07_06_11_14_52_0752,0.340977,1.116252,9.844072,-0.008788,0.052330,-0.036085
2025_07_06_11_14_52_0774,0.254836,1.145564,9.934999,0.030625,0.047003,-0.029693
2025_07_06_11_14_52_0796,0.144766,1.049253,9.733404,0.017843,-0.015845,-0.014913
2025_07_06_11_14_52_0820,0.221336,1.116252,9.675977,0.009321,-0.020106,0.014913
2025_07_06_11_14_52_0842,0.264407,1.030110,9.599406,-0.025832,-0.028628,0.026631
2025_07_06_11_14_52_0864,0.388834,1.015753,9.858429,-0.026897,-0.022237,0.013848
2025_07_06_11_14_52_0885,0.336192,1.001396,9.868001,-0.002397,-0.009454,-0.005326
2025_07_06_11_14_52_0910,0.326620,1.030110,9.776475,0.008256,0.007590,-0.021172
2025_07_06_11_14_52_0942,0.240479,1.063610,9.709476,0.003995,0.031025,-0.024367
2025_07_06_11_14_52_0965,0.216550,1.068395,9.771689,-0.003462,0.034221,-0.021172
2025_07_06_11_14_52_0987,0.235693,1.058824,9.863214,0.006125,0.024634,-0.030759
2025_07_06_11_14_53_0010,0.211765,1.049253,9.891929,0.030625,0.003329,-0.050998
2025_07_06_11_14_53_0032,0.106481,1.039681,9.704690,0.038082,0.008655,-0.048868
2025_07_06_11_14_53_0065,0.072981,1.087538,9.589835,-0.011984,0.017177,0.006391
2025_07_06_11_14_53_0088,0.183051,1.077967,9.796216,-0.030093,0.001198,0.030892
2025_07_06_11_14_53_0118,0.226122,1.073181,9.829716,-0.013049,-0.011584,0.027696
2025_07_06_11_14_53_0145,0.278764,1.097109,9.853643,0.015712,-0.015845,0.023435
2025_07_06_11_14_53_0166,0.307478,1.058824,9.709476,0.016777,-0.000932,0.013848
2025_07_06_11_14_53_0188,0.264407,1.077967,9.709476,0.008256,0.029960,-0.006391
2025_07_06_11_14_53_0218,0.173480,1.039681,9.786645,-0.001332,0.036351,-0.011718
2025_07_06_11_14_53_0241,0.183051,1.010968,9.824930,0.006125,0.022503,-0.007457
2025_07_06_11_14_53_0264,0.159123,0.963111,9.728619,-0.004527,0.002264,0.004261
2025_07_06_11_14_53_0286,0.221336,0.939183,9.762118,-0.008788,0.022503,0.014913
2025_07_06_11_14_53_0311,0.202194,0.910469,9.709476,-0.013049,0.050199,-0.001065
2025_07_06_11_14_53_0343,0.135194,0.905683,9.829716,-0.007723,0.078960,-0.033954
2025_07_06_11_14_53_0364,0.025125,0.939183,9.733404,0.007190,0.066178,-0.027563
2025_07_06_11_14_53_0386,0.001196,0.943969,9.680762,0.003995,0.050199,-0.008522
2025_07_06_11_14_53_0409,0.010768,1.039681,9.791430,-0.007723,0.045938,0.009587
2025_07_06_11_14_53_0431,0.005982,1.150349,9.752547,-0.001332,0.006525,0.017044
2025_07_06_11_14_53_0456,0.116052,1.222134,9.695119,-0.014114,-0.027563,0.031957
2025_07_06_11_14_53_0477,0.202194,1.303490,9.685548,-0.022636,-0.027563,0.035153
2025_07_06_11_14_53_0497,0.340977,1.298705,9.766904,-0.019441,-0.024367,0.024500
2025_07_06_11_14_53_0522,0.456431,1.226920,9.853643,-0.018375,-0.042476,-0.003196
2025_07_06_11_14_53_0542,0.427717,1.188635,9.801002,-0.007723,-0.042476,-0.023302
2025_07_06_11_14_53_0564,0.398405,1.058824,9.762118,-0.013049,-0.053128,-0.030759
2025_07_06_11_14_53_0586,0.398405,0.934397,9.752547,-0.009853,-0.008389,-0.039280
