时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_07_15_26_13_0611,-1.283151,2.965904,8.392227,0.454588,-0.185084,-0.223299
2025_07_07_15_26_13_0643,-1.321436,3.905087,7.386045,0.193739,-0.257520,-0.172168
2025_07_07_15_26_13_0666,-1.737787,3.588636,8.895318,0.167108,-0.354456,-0.114646
2025_07_07_15_26_13_0701,-1.881955,3.933800,8.617152,0.192674,-0.037150,0.181489
2025_07_07_15_26_13_0731,-1.493720,4.168297,8.263015,0.299197,-0.426892,0.142075
2025_07_07_15_26_13_0752,-1.345365,4.408177,8.473583,0.592003,-0.951919,0.080292
2025_07_07_15_26_13_0777,-1.555933,5.184050,8.018349,1.096791,-1.552577,0.017443
2025_07_07_15_26_13_0798,-1.201197,5.739783,6.681957,1.441926,-2.099974,-0.075232
2025_07_07_15_26_13_0832,0.235693,4.470391,5.919843,1.255510,-3.227789,-0.149798
2025_07_07_15_26_13_0852,1.409373,3.900301,7.740781,0.920095,-3.289573,-0.003861
2025_07_07_15_26_13_0875,1.040878,4.082155,8.306086,1.160704,-2.915809,0.071770
2025_07_07_15_26_13_0897,0.264407,4.235296,5.656633,1.525014,-2.496240,0.156989
2025_07_07_15_26_13_0922,0.010768,3.847659,2.752943,1.402512,-2.721937,0.324097
2025_07_07_15_26_13_0952,1.304088,3.253042,2.446661,1.154313,-3.461075,0.464708
2025_07_07_15_26_13_0978,2.257628,2.012364,3.567698,0.983876,-3.877448,0.604253
2025_07_07_15_26_13_0998,3.335595,1.509273,4.424927,0.852985,-3.705014,0.905581
2025_07_07_15_26_14_0021,4.231707,2.117648,4.300500,1.092530,-3.664535,1.049388
2025_07_07_15_26_14_0042,4.485346,1.470988,3.145964,1.564428,-3.967993,1.049388
2025_07_07_15_26_14_0065,5.429315,0.498305,2.748157,1.633535,-4.029777,1.297587
2025_07_07_15_26_14_0088,6.799206,0.067597,3.366701,1.606904,-3.777316,1.623415
2025_07_07_15_26_14_0110,9.429516,0.378664,3.778267,1.656970,-3.498358,1.946181
2025_07_07_15_26_14_0136,11.978470,1.389632,3.414558,1.395056,-2.868939,1.987725
2025_07_07_15_26_14_0166,10.129416,-1.887339,1.411765,0.528089,-2.074408,2.205964
2025_07_07_15_26_14_0189,10.550553,-4.469793,0.908674,-0.273765,-1.715558,3.161345
2025_07_07_15_26_14_0212,14.546567,-5.231308,1.162314,-0.909576,-1.472685,3.907807
2025_07_07_15_26_14_0234,16.822142,-6.970891,1.823929,-1.162036,-1.286402,4.231638
2025_07_07_15_26_14_0254,18.278772,-9.107681,1.857429,-1.358039,-1.120226,4.720447
2025_07_07_15_26_14_0279,21.244078,-9.562318,2.729014,-1.564561,-1.102117,5.403128
2025_07_07_15_26_14_0301,23.883959,-9.117252,2.638087,-1.550713,-1.080812,5.474499
2025_07_07_15_26_14_0322,25.096521,-8.542377,1.421337,-1.536865,-1.046725,5.094344
2025_07_07_15_26_14_0346,23.802603,-7.415956,1.258625,-1.521952,-1.143661,4.350945
2025_07_07_15_26_14_0376,18.877577,-4.100700,2.374876,-0.657249,-1.304511,3.405150
2025_07_07_15_26_14_0399,15.126228,-3.104089,2.058426,-0.283352,-0.998789,2.974930
2025_07_07_15_26_14_0422,13.741383,-2.749951,1.349552,-0.331287,-0.516372,2.858819
2025_07_07_15_26_14_0444,13.468600,-3.051447,0.429512,-0.464442,0.035286,2.804492
2025_07_07_15_26_14_0467,13.760525,-1.954338,-0.887737,-0.622096,0.481618,2.755491
2025_07_07_15_26_14_0490,13.583456,-0.210568,-2.473580,-0.879749,0.458183,2.361488
2025_07_07_15_26_14_0512,12.500704,-0.105284,-1.932204,-1.352713,0.378291,1.929137
2025_07_07_15_26_14_0535,11.413166,0.354736,-0.710668,-1.741390,0.609313,1.641524
2025_07_07_15_26_14_0557,9.602397,0.896112,-0.351147,-2.109827,0.993862,1.383871
2025_07_07_15_26_14_0578,8.356335,2.002793,0.117847,-2.257895,1.170558,1.176150
2025_07_07_15_26_14_0603,7.781459,2.903690,0.812962,-1.687063,0.859643,0.871494
2025_07_07_15_26_14_0633,8.241479,2.788835,0.808176,-0.565639,0.234484,0.350728
2025_07_07_15_26_14_0658,8.926425,2.309672,1.033101,0.179891,-0.086151,-0.057123
2025_07_07_15_26_14_0681,10.172487,1.370489,1.013959,0.609047,-0.142475,-0.370168
2025_07_07_15_26_14_0715,13.258032,-0.148355,-0.030508,1.119160,-0.178693,-0.814371
2025_07_07_15_26_14_0745,15.940985,-1.355534,-0.351147,1.205444,-0.432218,-1.096524
2025_07_07_15_26_14_0770,17.943178,-1.820340,0.477368,0.928617,-0.273499,-1.604507
2025_07_07_15_26_14_0792,18.474983,-2.630310,1.651048,0.807180,0.165244,-2.120080
2025_07_07_15_26_14_0818,19.102501,-4.555934,1.239482,1.026485,0.629553,-2.639781
2025_07_07_15_26_14_0846,19.993828,-6.601798,0.760319,1.215031,0.906513,-3.113676
2025_07_07_15_26_14_0871,20.248066,-7.660622,0.472582,1.241662,1.086538,-3.377854
2025_07_07_15_26_14_0902,16.395620,-6.069993,0.698106,1.107443,1.580673,-3.980643
2025_07_07_15_26_14_0928,14.896518,-6.716653,0.218943,1.179879,1.668022,-3.995556
2025_07_07_15_26_14_0959,15.183656,-7.890333,0.415155,1.514362,1.205711,-3.801683
2025_07_07_15_26_14_0992,13.875978,-7.981858,1.282553,1.720884,0.880948,-3.805944
2025_07_07_15_26_15_0019,12.199208,-7.076175,1.497907,1.615426,0.897991,-3.711139
2025_07_07_15_26_15_0043,10.704292,-6.386444,1.090529,1.470687,0.910774,-3.632311
2025_07_07_15_26_15_0067,9.329018,-5.907281,1.330409,1.513297,0.788272,-3.544962
2025_07_07_15_26_15_0092,8.097910,-6.022136,1.028316,1.585599,0.719032,-3.317136
2025_07_07_15_26_15_0125,6.311069,-5.888138,0.204586,1.468557,0.745663,-2.839911
2025_07_07_15_26_15_0145,5.252246,-5.810970,-0.207577,1.412099,0.584813,-2.481061
2025_07_07_15_26_15_0170,4.676772,-6.093921,-0.691526,1.362034,0.215310,-1.993317
2025_07_07_15_26_15_0190,4.509274,-6.553941,-0.873380,1.315163,-0.133953,-1.567357
2025_07_07_15_26_15_0213,4.490132,-6.362515,-0.658026,1.141530,-0.364043,-1.004914
2025_07_07_15_26_15_0239,5.438886,-6.606583,-1.003191,0.780550,-0.470567,-0.276561
2025_07_07_15_26_15_0270,6.301498,-6.673583,-0.936192,0.333285,-0.590938,0.464708
2025_07_07_15_26_15_0293,6.526424,-6.122635,-0.758525,-0.162049,-0.436479,0.933277
2025_07_07_15_26_15_0324,7.389036,-7.143174,-1.070190,-0.961772,-0.326760,1.702242
2025_07_07_15_26_15_0350,8.916854,-7.646265,-0.452243,-1.120492,-0.489741,2.437120
2025_07_07_15_26_15_0381,11.341381,-7.732406,-0.571885,-0.886141,-0.893331,3.382781
2025_07_07_15_26_15_0402,12.572489,-6.577869,-0.433101,-0.939402,-1.045659,3.834440
2025_07_07_15_26_15_0426,13.616956,-6.553941,0.376870,-1.160971,-0.938071,4.029244
2025_07_07_15_26_15_0448,14.987445,-7.440482,-0.231506,-1.443258,-0.864570,4.372249
2025_07_07_15_26_15_0481,17.516659,-7.248458,0.899103,-1.237668,-1.177748,4.712990
2025_07_07_15_26_15_0504,18.589840,-6.079564,1.023530,-1.241929,-0.898657,4.733230
2025_07_07_15_26_15_0529,18.537197,-4.412365,0.558724,-1.739259,-0.311847,4.407402
2025_07_07_15_26_15_0559,16.759928,-3.492325,1.402194,-2.309026,0.134353,3.850418
2025_07_07_15_26_15_0581,14.828920,-2.611168,1.795215,-2.199307,0.263246,3.432847
2025_07_07_15_26_15_0606,12.802797,-2.692524,1.100100,-1.869218,0.301594,3.084649
2025_07_07_15_26_15_0637,12.955938,-2.941377,-0.217149,-0.920228,-0.285216,2.889711
2025_07_07_15_26_15_0659,13.334602,-3.195615,-1.515853,-0.406919,-0.790003,2.722469
2025_07_07_15_26_15_0684,13.329817,-3.684349,-1.530210,-0.430354,-0.943397,2.765079
2025_07_07_15_26_15_0704,14.239688,-2.998805,-1.223331,-0.464442,-1.000920,3.042039
2025_07_07_15_26_15_0724,16.003199,-1.734198,-1.256830,-0.615705,-1.074421,3.196498
2025_07_07_15_26_15_0746,17.823538,-0.311067,0.376870,-0.853118,-1.000920,3.018604
2025_07_07_15_26_15_0769,19.586451,1.638485,2.705086,-0.450594,-0.839004,2.536187
2025_07_07_15_26_15_0794,19.380667,5.107480,3.102893,0.558981,-0.735677,1.427545
2025_07_07_15_26_15_0825,17.028522,6.367301,2.580659,1.125552,-0.340608,-0.149798
2025_07_07_15_26_15_0848,15.279369,4.848457,1.555335,1.124487,0.239811,-1.113568
2025_07_07_15_26_15_0872,15.107086,1.998007,-0.811167,1.006246,0.680684,-1.618355
2025_07_07_15_26_15_0903,15.562321,1.792224,-1.366900,0.374696,0.609313,-2.120080
2025_07_07_15_26_15_0925,16.578074,0.555733,-0.379861,-0.222767,0.999189,-2.675998
2025_07_07_15_26_15_0948,17.186449,-1.700699,0.214158,-0.483616,1.231276,-3.133916
2025_07_07_15_26_15_0973,18.853647,-4.172484,2.547160,0.087216,0.861773,-3.606746
2025_07_07_15_26_16_0003,20.046471,-6.888937,5.599205,2.843373,-0.407718,-4.521648
2025_07_07_15_26_16_0025,18.872791,-8.221141,3.500700,4.496348,-0.937006,-5.201133
2025_07_07_15_26_16_0046,16.975283,-8.412566,1.152742,4.608198,-1.036072,-5.452395
2025_07_07_15_26_16_0071,15.174085,-7.627122,-1.381257,3.227922,-0.961506,-5.334154
2025_07_07_15_26_16_0093,13.612170,-7.396813,-2.531606,1.314098,-0.505719,-5.040283
2025_07_07_15_26_16_0115,12.381063,-7.622336,-0.744168,-0.314244,0.021438,-4.557866
2025_07_07_15_26_16_0136,11.604591,-8.264212,0.587438,-1.136470,0.712641,-4.087033
2025_07_07_15_26_16_0161,10.819147,-8.949157,0.779462,-1.499582,1.281342,-3.506614
2025_07_07_15_26_16_0184,11.293525,-9.136395,2.657230,-0.958577,0.915035,-3.126459
2025_07_07_15_26_16_0214,9.990034,-10.109077,2.921038,1.041398,0.067243,-2.935782
2025_07_07_15_26_16_0239,8.816355,-9.888340,1.162314,1.640991,-0.177628,-2.448039
2025_07_07_15_26_16_0262,8.562716,-9.754341,-0.562313,1.386534,-0.013715,-1.900642
2025_07_07_15_26_16_0294,5.635098,-8.867801,-2.129014,0.323698,0.223832,-1.280810
2025_07_07_15_26_16_0314,4.595416,-9.025727,-1.884348,-0.215310,0.172701,-0.624759
2025_07_07_15_26_16_0339,5.510671,-8.934800,-1.290330,-0.367505,-0.087216,0.301727
2025_07_07_15_26_16_0369,7.173084,-8.987442,-1.266401,-0.251395,-0.443936,1.143128
2025_07_07_15_26_16_0394,7.872386,-8.297710,0.041276,0.074433,-0.903983,1.720351
2025_07_07_15_26_16_0417,7.848458,-7.493124,1.095315,0.683613,-1.168161,2.181464
2025_07_07_15_26_16_0440,9.104092,-6.534799,0.496511,0.865768,-0.896527,2.675732
2025_07_07_15_26_16_0475,11.188240,-6.084350,-1.879562,0.511046,-0.416240,3.072931
2025_07_07_15_26_16_0503,12.285350,-5.351548,-2.924029,0.053128,-0.436479,3.299692
2025_07_07_15_26_16_0526,12.448062,-4.992026,-3.120839,-0.714771,-0.113847,3.470130
2025_07_07_15_26_16_0553,12.687344,-4.757530,-2.794817,-1.652975,-0.021172,3.555348
2025_07_07_15_26_16_0577,11.672189,-6.127420,-1.616352,-2.346309,0.078960,3.617132
2025_07_07_15_26_16_0605,11.964113,-5.547760,0.668794,-2.253633,-0.093607,3.875983
2025_07_07_15_26_16_0626,12.318850,-4.786243,1.483550,-1.560300,-0.201063,3.888766
2025_07_07_15_26_16_0651,12.323635,-4.043272,0.927817,-0.801055,0.020373,3.898220
2025_07_07_15_26_16_0673,14.139189,-3.406183,-0.274576,0.028628,0.027829,3.947221
2025_07_07_15_26_16_0703,17.057236,-2.059622,-3.858427,1.023289,-0.462045,3.604349
2025_07_07_15_26_16_0726,17.632113,-2.538785,-4.721039,0.716636,-0.679352,3.234846
2025_07_07_15_26_16_0751,18.700508,-2.175076,-2.962314,-0.251395,-0.399196,3.252955
2025_07_07_15_26_16_0772,19.102501,0.196810,-1.759921,-1.304777,0.178027,3.038843
2025_07_07_15_26_16_0799,17.684753,1.739582,0.065204,-3.498625,2.212223,2.354032
2025_07_07_15_26_16_0826,17.560328,4.551747,2.456233,-2.612617,2.049242,1.596784
2025_07_07_15_26_16_0849,17.617754,4.623531,3.553342,-0.011851,0.167375,0.727820
2025_07_07_15_26_16_0876,15.360725,5.117051,3.424129,1.254445,0.109852,-0.435148
2025_07_07_15_26_16_0904,14.479568,3.770490,1.061815,1.080812,0.804251,-1.061372
2025_07_07_15_26_16_0928,14.398212,2.817549,-0.073579,0.643134,1.132210,-1.610899
2025_07_07_15_26_16_0950,15.068801,1.753939,-0.404387,0.558981,0.811708,-2.078536
2025_07_07_15_26_16_0972,16.280766,-0.287139,0.832104,0.528089,0.445401,-2.597171
2025_07_07_15_26_16_0995,17.541185,-2.366502,2.187638,0.434349,0.528356,-3.072132
2025_07_07_15_26_17_0019,17.526230,-4.235296,2.633301,0.408783,0.891600,-3.533245
2025_07_07_15_26_17_0049,16.606787,-5.796613,3.122035,0.661243,1.171623,-4.001947
2025_07_07_15_26_17_0074,15.217155,-6.429514,2.523232,1.299185,1.142862,-4.216991
2025_07_07_15_26_17_0097,14.029119,-6.649654,1.761716,1.926474,0.758446,-4.307536
2025_07_07_15_26_17_0130,12.912868,-6.424729,0.932603,2.245911,0.392139,-4.261731
2025_07_07_15_26_17_0160,12.634702,-6.687939,0.012562,1.999975,0.359117,-4.088098
2025_07_07_15_26_17_0183,11.959328,-6.985248,-0.480957,1.616491,0.448596,-3.942294
2025_07_07_15_26_17_0208,11.183455,-8.398210,-0.720240,1.141530,0.400661,-3.642964
2025_07_07_15_26_17_0238,10.545768,-9.859626,-0.083151,0.800789,0.400661,-2.862281
2025_07_07_15_26_17_0261,9.588040,-10.012766,-0.476172,0.987072,0.204658,-2.325537
2025_07_07_15_26_17_0285,8.035697,-9.864411,-0.950549,1.120226,-0.162714,-1.646051
2025_07_07_15_26_17_0308,7.446464,-9.361320,-0.777667,0.888138,-0.270303,-1.035806
2025_07_07_15_26_17_0339,6.114260,-9.840483,-1.175474,0.665504,-0.226628,-0.381886
2025_07_07_15_26_17_0361,5.956334,-9.821341,-1.692922,0.709179,-0.527024,0.428490
2025_07_07_15_26_17_0383,7.762317,-8.609376,-1.443470,0.551524,-0.774025,1.178281
2025_07_07_15_26_17_0408,8.557930,-7.885547,-1.175474,-0.001198,-0.613308,1.544588
2025_07_07_15_26_17_0442,6.976872,-7.358528,-0.231506,-0.889336,-0.215976,1.956833
2025_07_07_15_26_17_0466,8.093124,-7.415956,0.098704,-1.171623,-0.082955,2.551100
2025_07_07_15_26_17_0496,10.502697,-7.100103,-0.140578,-1.157775,-0.206389,3.103823
2025_07_07_15_26_17_0518,11.949757,-5.902495,-0.178863,-1.170558,-0.239411,3.215672
2025_07_07_15_26_17_0541,12.208779,-5.303691,-0.279362,-1.330343,-0.129692,3.146432
2025_07_07_15_26_17_0567,11.623734,-4.996812,-0.188435,-1.586931,-0.049933,3.146432
2025_07_07_15_26_17_0596,10.919646,-4.134199,0.305085,-1.704107,-0.092542,3.185846
2025_07_07_15_26_17_0619,11.020144,-3.885346,0.553938,-1.652975,-0.175497,3.216738
2025_07_07_15_26_17_0644,11.470593,-3.703491,0.247657,-1.655106,-0.194671,3.193302
2025_07_07_15_26_17_0667,12.011970,-3.961916,-0.116650,-1.733933,-0.272433,3.158150
2025_07_07_15_26_17_0695,13.258032,-4.541577,-0.145364,-1.969350,-0.406653,3.201824
2025_07_07_15_26_17_0722,14.263616,-4.896313,0.295514,-2.073609,-0.377891,3.267869
2025_07_07_15_26_17_0751,16.060625,-3.540181,0.252443,-1.566692,-0.681483,3.578784
2025_07_07_15_26_17_0775,18.014963,-0.871586,0.856032,-0.763772,-0.950854,3.613936
2025_07_07_15_26_17_0798,21.867409,3.818945,2.192424,0.232088,-0.996659,3.194368
2025_07_07_15_26_17_0823,22.772493,5.370690,0.558724,0.268306,-0.176562,1.756569
2025_07_07_15_26_17_0845,19.883759,4.187439,0.065204,-0.774424,0.583748,0.606384
2025_07_07_15_26_17_0875,14.513067,3.325425,3.965505,-0.925554,0.617835,-0.433017
2025_07_07_15_26_17_0895,13.660027,1.614557,4.180860,0.003063,0.434748,-0.611976
2025_07_07_15_26_17_0918,13.238292,2.951547,3.184249,0.888138,0.119439,-0.912372
2025_07_07_15_26_17_0943,13.785051,2.386242,2.465804,1.288532,-0.087216,-1.481073
2025_07_07_15_26_17_0970,15.370296,0.297308,2.954538,1.636731,-0.388544,-2.179733
2025_07_07_15_26_17_0999,16.999809,-2.251646,3.620341,1.830603,-0.325695,-2.791044
2025_07_07_15_26_18_0031,16.913069,-3.971487,2.897110,1.749645,0.240876,-3.484244
2025_07_07_15_26_18_0052,16.319050,-4.589434,1.737189,1.546319,0.614639,-3.744161
2025_07_07_15_26_18_0074,16.218552,-4.948956,1.076172,1.518623,0.661510,-3.945490
2025_07_07_15_26_18_0099,15.509678,-5.715257,0.769891,1.479209,0.600791,-4.252144
2025_07_07_15_26_18_0122,14.287544,-6.400801,0.784248,1.278945,0.676423,-4.323514
2025_07_07_15_26_18_0154,13.315460,-6.788438,0.357727,0.970161,0.686010,-4.098751
2025_07_07_15_26_18_0177,12.716656,-6.750153,0.688535,0.748592,0.712641,-3.956142
2025_07_07_15_26_18_0199,12.400206,-6.951748,0.530010,0.646330,0.772294,-3.744161
2025_07_07_15_26_18_0222,12.381063,-7.229315,-0.016152,0.584547,0.700923,-3.515136
2025_07_07_15_26_18_0244,12.227921,-7.450053,0.074776,0.457784,0.679619,-3.264939
2025_07_07_15_26_18_0274,10.924432,-8.115856,-0.064008,0.427957,0.638075,-2.909151
2025_07_07_15_26_18_0299,9.003593,-8.364710,-0.178863,0.728353,0.342073,-2.521540
2025_07_07_15_26_18_0329,7.983055,-9.117252,-0.466600,0.957378,-0.016911,-1.768553
