时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_07_15_27_41_0890,-1.579861,2.170290,3.471986,0.852985,1.185471,1.676677
2025_07_07_15_27_41_0912,-1.718645,3.535994,1.042673,0.463110,0.500660,1.652176
2025_07_07_15_27_41_0935,0.211765,4.633103,2.580659,0.440740,-0.642069,1.207042
2025_07_07_15_27_41_0957,0.733998,4.637888,4.377071,0.952052,-1.637796,0.511578
2025_07_07_15_27_41_0978,0.466002,4.326223,4.233501,1.617556,-2.229932,0.107988
2025_07_07_15_27_42_0004,0.302692,4.101298,1.325624,1.986127,-2.963745,-0.106124
2025_07_07_15_27_42_0024,1.170090,4.086941,-0.413958,1.696384,-3.829513,-0.159385
2025_07_07_15_27_42_0046,2.971287,3.976871,-0.150150,1.609035,-4.794481,-0.323431
2025_07_07_15_27_42_0069,4.101896,3.042474,0.611366,2.068150,-6.098060,-0.591737
2025_07_07_15_27_42_0099,5.429315,1.628914,2.417947,2.665612,-7.220549,-0.492670
2025_07_07_15_27_42_0123,5.481956,0.105882,3.227319,2.818873,-7.152374,0.028096
2025_07_07_15_27_42_0148,7.973483,-0.641875,1.718047,1.590926,-5.489945,1.215564
2025_07_07_15_27_42_0168,12.696916,1.801795,1.517050,-0.481485,-4.266258,1.379610
2025_07_07_15_27_42_0196,10.560124,-2.625525,5.230112,-0.915967,-4.351477,1.229412
2025_07_07_15_27_42_0224,12.223136,-5.753542,3.932006,0.818898,-5.766772,2.573470
2025_07_07_15_27_42_0247,19.716261,-5.025526,5.297111,1.676144,-5.964905,3.344432
2025_07_07_15_27_42_0269,18.647865,-6.625726,3.744767,1.015833,-4.495150,3.837635
2025_07_07_15_27_42_0292,18.619152,-9.533604,0.827318,-0.765903,-3.254420,5.108192
2025_07_07_15_27_42_0315,21.297318,-10.185648,2.638087,-2.698768,-2.239519,6.074092
2025_07_07_15_27_42_0336,23.108086,-10.463215,3.610769,-3.641366,-1.514229,6.215768
2025_07_07_15_27_42_0357,22.686352,-11.967703,4.502096,-3.874652,-1.456706,6.193398
2025_07_07_15_27_42_0382,24.439692,-12.509079,5.407181,-3.391036,-1.354444,6.440399
2025_07_07_15_27_42_0407,26.126633,-8.791230,4.530810,-2.738182,-1.431141,5.901524
2025_07_07_15_27_42_0427,24.415764,-5.001597,4.636094,-2.362287,-1.336468,4.898341
2025_07_07_15_27_42_0458,18.130417,-1.767698,5.373682,-1.969350,-0.671896,3.384911
2025_07_07_15_27_42_0482,14.158332,0.306879,4.511667,-1.430475,-0.396000,2.761883
2025_07_07_15_27_42_0503,12.596416,1.609771,3.524628,-0.841534,-0.421566,2.256030
2025_07_07_15_27_42_0525,11.307881,2.520241,2.815156,-0.297200,-0.371500,1.537131
2025_07_07_15_27_42_0547,9.540184,2.213959,1.631905,0.086151,-0.384283,1.225151
2025_07_07_15_27_42_0570,9.884750,2.827120,1.316052,0.170304,-0.482284,1.213434
2025_07_07_15_27_42_0592,11.154741,3.564708,1.497907,0.094673,-0.296934,0.988669
2025_07_07_15_27_42_0613,12.567702,3.938586,1.124028,0.012650,-0.137149,0.631949
2025_07_07_15_27_42_0636,13.291532,3.224329,1.459622,-0.058721,0.091743,0.162315
2025_07_07_15_27_42_0658,13.770096,2.764907,1.771287,-0.090678,0.446466,-0.142342
2025_07_07_15_27_42_0680,15.457036,2.266601,1.838286,0.079759,0.729685,-0.485214
2025_07_07_15_27_42_0703,16.678572,0.929612,1.967498,0.294936,1.057776,-0.837806
2025_07_07_15_27_42_0726,18.619152,1.193420,1.071386,0.607982,1.117296,-1.354311
2025_07_07_15_27_42_0748,19.342382,-0.775873,0.702892,1.064834,0.895861,-2.166950
2025_07_07_15_27_42_0771,19.265812,-2.423929,0.262014,1.463231,0.726489,-2.709021
2025_07_07_15_27_42_0794,20.885155,-4.019344,-0.514457,1.797581,0.424096,-3.047632
2025_07_07_15_27_42_0814,19.807188,-3.918845,-0.030508,1.725145,0.424096,-3.592898
2025_07_07_15_27_42_0839,16.544575,-3.933202,-0.188435,1.497318,0.971493,-4.022054
2025_07_07_15_27_42_0859,15.576677,-5.260022,-1.094118,1.763493,0.877752,-4.147751
2025_07_07_15_27_42_0884,15.634105,-5.495117,-1.084547,1.819951,0.452857,-3.922055
2025_07_07_15_27_42_0914,15.035301,-6.525228,0.271585,1.128748,1.021559,-4.105142
2025_07_07_15_27_42_0939,12.975080,-6.563512,0.429512,0.936074,1.262168,-3.914598
2025_07_07_15_27_42_0966,11.437094,-6.314061,0.391227,0.835942,1.171623,-3.684508
2025_07_07_15_27_42_0994,10.048060,-5.845068,1.287339,0.936074,0.998123,-3.478918
2025_07_07_15_27_43_0014,8.931211,-5.806184,1.133600,1.059507,0.980014,-3.345897
2025_07_07_15_27_43_0037,7.838887,-6.184848,0.923031,1.147922,0.807447,-3.107285
2025_07_07_15_27_43_0060,7.335796,-6.050850,0.712463,1.156444,0.680684,-2.809020
2025_07_07_15_27_43_0082,6.320641,-7.023533,0.098704,1.096791,0.656184,-2.554562
2025_07_07_15_27_43_0103,5.065007,-7.938189,-0.921237,1.017963,0.467770,-2.058296
2025_07_07_15_27_43_0125,5.122435,-8.163713,-0.768096,0.843398,0.023568,-1.207309
2025_07_07_15_27_43_0150,6.521638,-7.358528,0.036491,0.561112,-0.302260,-0.459648
2025_07_07_15_27_43_0173,7.350153,-7.305886,0.606581,0.338611,-0.276694,-0.079493
2025_07_07_15_27_43_0194,7.240083,-8.106285,0.577867,0.180956,-0.223433,0.411446
2025_07_07_15_27_43_0218,7.647461,-8.139785,0.266800,0.055259,-0.316108,1.044062
2025_07_07_15_27_43_0250,8.457432,-7.497910,-0.255434,0.033954,-0.684679,1.901441
2025_07_07_15_27_43_0273,10.330414,-7.584051,0.041276,0.174565,-0.957245,2.450968
2025_07_07_15_27_43_0295,11.916257,-7.919046,-0.830309,0.284284,-1.027550,2.920603
2025_07_07_15_27_43_0318,12.548560,-7.143174,-1.213759,0.041411,-1.025420,3.389172
2025_07_07_15_27_43_0350,14.143974,-6.640083,-1.285544,-0.844730,-0.729418,3.889832
2025_07_07_15_27_43_0370,15.174085,-7.171888,-1.113261,-1.514495,-0.372565,4.062266
2025_07_07_15_27_43_0393,16.304693,-6.918249,-0.524028,-2.072544,-0.138214,4.344553
2025_07_07_15_27_43_0418,17.291733,-5.221737,-0.418744,-2.450702,-0.078694,4.373314
2025_07_07_15_27_43_0439,16.635502,-4.240082,0.147159,-2.890510,-0.017976,4.033505
2025_07_07_15_27_43_0461,14.000405,-3.669394,2.413162,-3.258015,0.307985,3.630980
2025_07_07_15_27_43_0484,11.925828,-2.615953,2.642873,-2.877727,0.732880,3.555348
2025_07_07_15_27_43_0505,12.558131,-1.518246,0.151944,-1.457106,0.021438,3.589436
2025_07_07_15_27_43_0527,13.569099,-0.277567,-1.357329,-0.373897,-1.115965,3.307149
2025_07_07_15_27_43_0549,12.850654,-0.976870,-0.524028,-0.347266,-1.404510,2.839645
2025_07_07_15_27_43_0572,12.807583,-1.638485,0.204586,-0.744598,-0.949788,2.903559
2025_07_07_15_27_43_0594,14.603994,-1.302892,-0.586242,-1.026752,-0.711309,2.995169
2025_07_07_15_27_43_0616,16.381264,-0.885943,-0.725025,-1.234472,-0.718766,2.776796
