时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_06_11_13_09_0954,-0.094516,1.878366,8.411369,0.091211,-0.119972,-0.140078
2025_07_06_11_13_09_0976,-0.324826,2.017149,8.684152,-0.192008,0.008921,-0.081490
2025_07_06_11_13_09_0999,-0.209970,1.878366,9.661619,-0.223965,0.069640,0.092143
2025_07_06_11_13_10_0022,0.159123,1.677369,10.169497,-0.139812,-0.063515,0.136882
2025_07_06_11_13_10_0043,0.666999,1.566701,10.265209,-0.071637,-0.130624,0.068708
2025_07_06_11_13_10_0064,0.537787,1.399203,9.954143,0.035952,-0.058188,-0.026098
2025_07_06_11_13_10_0087,0.374477,1.389632,9.474979,0.072036,0.038748,-0.076164
2025_07_06_11_13_10_0109,0.120838,1.499702,9.417552,0.017843,0.102662,-0.080425
2025_07_06_11_13_10_0136,-0.113659,1.585843,9.796216,-0.009853,0.069640,-0.061251
2025_07_06_11_13_10_0164,-0.157328,1.614557,9.858429,0.001864,0.036617,-0.018642
2025_07_06_11_13_10_0187,-0.181256,1.643271,9.747761,0.013582,-0.001731,0.011185
2025_07_06_11_13_10_0210,-0.132802,1.638485,9.661619,0.011451,-0.030492,0.031424
2025_07_06_11_13_10_0239,-0.027517,1.624128,9.604192,-0.018375,-0.016644,0.034620
2025_07_06_11_13_10_0266,0.049053,1.624128,9.791430,-0.019441,-0.021970,0.032490
2025_07_06_11_13_10_0289,0.111266,1.609771,9.796216,-0.000266,-0.031558,0.033555
2025_07_06_11_13_10_0310,0.163908,1.648057,9.632906,0.016777,-0.061384,0.027163
2025_07_06_11_13_10_0335,0.197408,1.667199,9.656834,0.000799,-0.052862,0.017576
2025_07_06_11_13_10_0357,0.245264,1.696511,9.695119,-0.010919,-0.011318,0.009054
2025_07_06_11_13_10_0387,0.321835,1.643271,9.733404,-0.000266,0.035552,-0.000533
2025_07_06_11_13_10_0411,0.278764,1.614557,9.690333,0.014647,0.011052,-0.029294
2025_07_06_11_13_10_0433,0.187837,1.701297,9.723833,0.016777,0.008921,-0.047403
2025_07_06_11_13_10_0457,0.077767,1.672583,9.738190,0.015712,0.003595,-0.026098
