时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_03_18_59_25_0056,1.332802,2.386242,0.693320,0.101730,-2.395176,1.280410
2025_07_03_18_59_25_0078,2.899503,1.897508,0.702892,0.471366,-3.397295,1.582936
2025_07_03_18_59_25_0103,4.604987,1.667199,0.741177,1.396787,-4.628438,1.584002
2025_07_03_18_59_25_0131,4.959723,0.105882,-1.419542,1.733400,-5.385685,1.728740
2025_07_03_18_59_25_0156,5.975476,-1.624128,-2.770889,1.317960,-5.876624,2.321942
2025_07_03_18_59_25_0178,9.175877,-1.997409,-1.702493,1.099720,-6.568892,2.635120
2025_07_03_18_59_25_0201,11.188240,-2.907878,0.784248,1.462831,-7.028940,2.514749
2025_07_03_18_59_25_0221,9.927821,-4.929813,0.889532,1.885729,-7.007636,2.833254
2025_07_03_18_59_25_0244,10.018748,-7.348957,1.128814,2.065620,-6.489000,3.960004
2025_07_03_18_59_25_0274,17.636898,-5.404190,1.186242,1.285071,-4.803136,4.924839
2025_07_03_18_59_25_0301,20.592632,-3.981059,2.571088,-0.605319,-2.659354,4.644815
2025_07_03_18_59_25_0332,17.114664,-8.063214,3.932006,-1.768287,-1.950042,5.126168
2025_07_03_18_59_25_0357,21.732811,-7.837690,6.509076,-1.164433,-1.989456,6.099524
2025_07_03_18_59_25_0378,24.894926,-5.202595,5.230112,-0.839670,-1.173620,5.408321
2025_07_03_18_59_25_0402,21.119652,-6.443871,2.547160,-1.289065,-0.617702,4.974905
2025_07_03_18_59_25_0430,23.021944,-6.597012,3.553342,-1.951507,-0.471765,5.358255
2025_07_03_18_59_25_0465,24.579075,-3.588037,2.988037,-2.178401,-0.532483,4.602206
2025_07_03_18_59_25_0487,21.014366,-0.301496,5.435895,-2.634188,-0.125697,3.501954
2025_07_03_18_59_25_0512,16.984854,1.351347,6.446862,-2.469077,0.363244,2.605294
2025_07_03_18_59_25_0535,15.873387,2.697309,5.685347,-1.440328,0.113980,2.065354
2025_07_03_18_59_25_0557,17.679968,3.152544,5.029115,-0.209185,-0.497331,1.319824
2025_07_03_18_59_25_0578,17.818752,2.975475,5.737988,0.858977,-1.013836,0.302792
2025_07_03_18_59_25_0600,16.381264,1.730011,5.311468,1.575746,-1.082010,-0.571631
2025_07_03_18_59_25_0623,16.041483,0.695115,4.338786,1.516093,-0.610245,-1.139267
2025_07_03_18_59_25_0646,15.667604,-0.479163,3.011966,1.137003,-0.051131,-1.699446
2025_07_03_18_59_25_0668,15.284155,-0.775873,3.007180,0.828086,0.263113,-2.113689
2025_07_03_18_59_25_0690,15.226727,-1.638485,3.279962,0.832346,0.422764,-2.576000
2025_07_03_18_59_25_0711,14.925231,-2.869593,3.265605,1.001719,0.476026,-2.959351
2025_07_03_18_59_25_0735,15.394823,-4.737789,3.236891,1.311568,0.444069,-3.338440
2025_07_03_18_59_25_0759,15.815960,-6.453443,3.327818,1.542724,0.379223,-3.652684
2025_07_03_18_59_25_0789,16.137196,-8.705089,3.270390,1.630073,0.433417,-3.979578
2025_07_03_18_59_25_0811,15.806388,-10.765309,2.834897,1.536332,0.591071,-4.268256
2025_07_03_18_59_25_0836,13.626527,-12.600006,1.287339,1.389330,0.712508,-4.289560
2025_07_03_18_59_25_0867,10.881361,-13.265809,0.113061,1.140199,0.792400,-3.799686
2025_07_03_18_59_25_0889,8.725428,-12.609577,-1.707279,0.986805,0.722095,-3.276657
2025_07_03_18_59_25_0914,7.240083,-12.906885,-2.876173,0.722627,0.421699,-2.882654
2025_07_03_18_59_25_0944,4.835296,-12.504292,-2.406581,0.210384,0.260982,-1.896514
2025_07_03_18_59_25_0967,6.071189,-12.360723,-1.850848,0.192275,0.108654,-1.190398
2025_07_03_18_59_25_0992,6.104689,-13.917853,-2.699104,0.083754,0.089480,-0.720763
2025_07_03_18_59_26_0017,4.030111,-14.775082,-3.254837,-0.077096,-0.177894,-0.090278
2025_07_03_18_59_26_0045,4.116253,-11.330613,-1.817349,-0.147402,-0.613441,1.134473
