时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_03_18_58_35_0774,2.023132,1.313061,-1.371686,0.889869,-4.550675,0.235683
2025_07_03_18_58_35_0796,3.168097,0.531805,-2.148157,2.023011,-7.114159,0.670165
2025_07_03_18_58_35_0819,4.537988,-1.398605,-0.466600,3.130720,-8.784044,1.141930
2025_07_03_18_58_35_0847,5.702096,-2.208575,-0.298505,3.039110,-7.827732,2.128202
2025_07_03_18_58_35_0874,8.596215,-3.128017,-2.373082,0.590672,-5.271705,2.838580
2025_07_03_18_58_35_0895,9.846465,-4.498507,-0.317647,-0.887605,-4.149216,2.914078
2025_07_03_18_58_35_0919,10.493126,-6.783652,2.738585,-1.176150,-3.469730,3.332715
2025_07_03_18_58_35_0942,11.820544,-8.853444,1.862214,-0.965367,-3.244034,3.800219
2025_07_03_18_58_35_0962,14.594423,-9.567103,3.308676,-0.949389,-3.083184,4.254940
2025_07_03_18_58_35_0986,15.777675,-11.234900,2.925824,-0.962172,-2.735918,4.632033
2025_07_03_18_58_36_0020,18.302700,-17.142181,3.692125,-2.163488,-1.793453,5.916304
2025_07_03_18_58_36_0040,23.515465,-19.043877,5.575277,-2.579861,-1.774279,6.870620
2025_07_03_18_58_36_0067,29.599813,-14.411372,7.208976,-2.558557,-1.637929,7.200709
2025_07_03_18_58_36_0095,27.822546,-7.603194,5.848059,-1.278413,-2.171478,5.965305
2025_07_03_18_58_36_0117,24.851856,-4.119843,4.348357,0.053927,-2.566679,4.981296
2025_07_03_18_58_36_0140,24.387051,-0.373280,2.949752,-0.133554,-1.952173,4.334833
2025_07_03_18_58_36_0168,23.544178,4.206582,5.153542,-1.317826,-0.503722,2.868273
2025_07_03_18_58_36_0195,20.224136,6.439086,5.982057,-1.065499,0.068175,1.121690
2025_07_03_18_58_36_0220,19.308882,6.817750,5.613562,0.239145,-0.347133,-0.029560
2025_07_03_18_58_36_0241,19.275383,6.458228,4.353143,0.772693,-0.336480,-1.064700
2025_07_03_18_58_36_0263,17.349161,3.109473,2.513660,0.774824,0.015978,-2.071079
