时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_15_44_32_0067,11.091929,-9.433105,-1.812563,-0.532084,-1.452578,1.136737
2025_07_02_15_44_32_0088,14.053047,-11.660823,-1.812563,-0.837673,-1.503710,1.444456
2025_07_02_15_44_32_0110,16.151552,-12.513865,-0.150150,-1.674813,-1.111704,2.097311
2025_07_02_15_44_32_0131,17.430517,-10.520643,0.966102,-1.884664,-0.837007,2.471074
2025_07_02_15_44_32_0153,20.856440,-10.794023,0.238086,-1.714226,-1.056312,2.710752
2025_07_02_15_44_32_0176,21.393030,-9.572487,1.684547,-1.518223,-1.289598,2.543510
2025_07_02_15_44_32_0204,16.640287,-4.992026,4.003790,-1.328612,-0.813572,2.191051
2025_07_02_15_44_32_0231,12.165111,-2.361716,2.398805,-0.750324,-0.532350,1.777874
2025_07_02_15_44_32_0256,9.899107,-1.470389,1.100100,0.216642,-1.180944,1.615958
2025_07_02_15_44_32_0286,9.022736,-0.378066,1.430908,0.717168,-1.315163,1.538196
2025_07_02_15_44_32_0314,8.313264,0.953540,1.722832,0.142075,-0.814637,1.503044
2025_07_02_15_44_32_0342,7.891529,2.295315,2.532803,-0.472431,-0.262979,1.394390
2025_07_02_15_44_32_0372,7.254440,3.248257,2.877967,-0.510779,0.004394,1.170824
2025_07_02_15_44_32_0399,7.762317,3.881158,4.042076,0.130358,-0.272566,0.791601
2025_07_02_15_44_32_0422,7.287940,3.631706,4.430311,0.898258,-0.446066,0.440208
2025_07_02_15_44_32_0444,8.994022,2.525026,3.629912,1.540460,-0.594134,0.270835
2025_07_02_15_44_32_0469,12.716656,1.600200,2.949752,2.149640,-0.695331,-0.118907
2025_07_02_15_44_32_0500,14.431711,1.049253,0.204586,2.199706,-0.424762,-1.037004
2025_07_02_15_44_32_0519,16.007984,-0.933799,-0.452243,1.452046,-0.036085,-1.495987
2025_07_02_15_44_32_0543,15.998412,-4.100700,-1.592423,0.806648,0.652988,-1.968817
2025_07_02_15_44_32_0567,15.859031,-6.874579,-3.062813,0.905714,0.100265,-2.051905
2025_07_02_15_44_32_0598,21.608385,-9.835697,-0.437887,1.365762,-0.768832,-2.090254
2025_07_02_15_44_32_0628,25.106092,-10.932807,1.914856,1.507438,-0.723027,-2.930589
2025_07_02_15_44_32_0657,19.280169,-11.440683,2.005784,1.558569,-0.239544,-3.749487
2025_07_02_15_44_32_0678,15.739389,-11.014163,0.534796,1.216629,0.245004,-3.795292
2025_07_02_15_44_32_0701,11.604591,-11.215758,-2.038087,0.619167,0.683880,-3.746291
2025_07_02_15_44_32_0723,6.607780,-10.094122,-3.240480,0.100531,0.585878,-3.303288
2025_07_02_15_44_32_0745,6.301498,-8.297710,-0.902094,0.101597,0.125831,-2.616345
2025_07_02_15_44_32_0778,3.613760,-9.323035,-0.768096,0.344470,0.215177,-2.701564
2025_07_02_15_44_32_0803,0.360120,-8.973084,-0.772882,0.292273,0.035286,-1.966686
2025_07_02_15_44_32_0834,3.235096,-5.686543,0.242871,0.415840,0.009720,-1.315962
2025_07_02_15_44_32_0856,3.512664,-6.084350,-1.055833,0.657515,-0.032889,-1.609967
2025_07_02_15_44_32_0880,1.553540,-8.068000,-1.597209,0.619167,-0.335415,-1.448051
2025_07_02_15_44_32_0901,2.626721,-7.871190,-0.274576,0.249664,-0.180956,-1.002917
2025_07_02_15_44_32_0924,0.729213,-10.084551,-1.065404,0.063248,-0.003063,-0.905981
2025_07_02_15_44_32_0958,3.033501,-11.881561,-2.770889,0.323165,-0.688939,0.226096
2025_07_02_15_44_32_0981,5.735596,-12.753146,-0.998405,-0.770563,-0.222501,0.500926
2025_07_02_15_44_33_0011,5.644669,-15.407385,0.549153,-1.472418,0.329157,1.385868
2025_07_02_15_44_33_0031,7.661818,-15.134604,-0.667598,-0.753519,-0.112782,2.290118
2025_07_02_15_44_33_0055,15.461822,-15.604195,-1.649851,0.028096,-0.945661,3.243235
2025_07_02_15_44_33_0082,21.910479,-15.383457,0.329013,-0.314776,-0.736875,3.721392
2025_07_02_15_44_33_0109,20.329422,-10.055838,0.046062,-0.838738,0.372832,4.065462
2025_07_02_15_44_33_0134,19.280169,-4.503292,-2.014158,-0.920761,0.321700,4.036701
2025_07_02_15_44_33_0155,17.766109,-1.829911,-2.181656,-0.963370,0.132222,3.658676
2025_07_02_15_44_33_0179,15.897315,-0.100499,-1.400399,-1.069893,0.029960,3.273062
2025_07_02_15_44_33_0202,12.999009,0.843470,-0.150150,-1.144460,0.069373,2.833254
2025_07_02_15_44_33_0237,8.984451,1.897508,-0.979263,-0.647129,-0.224631,2.678795
2025_07_02_15_44_33_0267,8.744571,4.307081,-0.806381,-0.801455,-0.459914,2.571206
2025_07_02_15_44_33_0291,9.046664,5.787640,0.980459,-1.482005,-0.196935,2.262422
2025_07_02_15_44_33_0313,8.327621,6.223732,3.318247,-1.793054,0.200264,1.829005
2025_07_02_15_44_33_0333,9.324232,6.266802,4.415356,-1.410635,0.253525,1.463630
2025_07_02_15_44_33_0358,12.227921,4.666602,4.219144,-0.756715,0.362179,0.729818
2025_07_02_15_44_33_0387,15.768103,1.236491,1.924428,-0.079493,0.325961,-0.099732
2025_07_02_15_44_33_0411,19.035501,-1.772483,0.698106,0.494668,-0.064846,-0.581085
2025_07_02_15_44_33_0436,23.534607,-3.732205,1.157528,0.700124,-0.159652,-1.104114
2025_07_02_15_44_33_0466,27.736404,-6.654440,1.785644,0.244338,0.450594,-2.050840
