时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_07_15_19_06_0852,-2.068595,3.794419,6.634101,0.101463,0.510912,-0.090278
2025_07_07_15_19_06_0876,-2.240878,3.588636,6.269794,-0.267107,0.255390,0.084420
2025_07_07_15_19_06_0903,-1.374078,3.847659,7.366903,-0.212780,-0.214245,0.263379
2025_07_07_15_19_06_0931,-0.449252,3.775276,6.681957,0.047137,-0.295203,0.140877
2025_07_07_15_19_06_0958,-0.142971,4.484748,4.655236,0.285616,-0.598794,0.022636
2025_07_07_15_19_06_0988,1.232304,5.117051,1.698904,0.511445,-1.470954,-0.279757
2025_07_07_15_19_07_0011,2.545365,4.518247,1.531407,0.139679,-2.532858,-0.770696
2025_07_07_15_19_07_0033,1.318445,3.162115,4.238287,-0.620631,-3.152557,-0.953916
2025_07_07_15_19_07_0056,2.492125,1.662413,5.934200,-0.291608,-3.826716,-0.684545
2025_07_07_15_19_07_0089,3.781258,3.267399,3.381058,1.793719,-5.753324,-0.697328
2025_07_07_15_19_07_0109,5.587241,3.425924,1.009173,2.188787,-6.530810,-0.860176
2025_07_07_15_19_07_0137,4.279563,1.183849,-0.984048,0.269637,-6.101655,-0.670697
2025_07_07_15_19_07_0164,5.587241,-0.095713,0.501296,-0.262846,-6.480744,0.074833
2025_07_07_15_19_07_0186,7.441679,-1.398605,1.588834,0.587077,-7.089925,0.352858
2025_07_07_15_19_07_0211,10.618151,-1.557129,1.852643,0.664839,-6.549985,0.864037
2025_07_07_15_19_07_0234,11.274382,-2.304288,0.544367,0.217441,-5.954653,1.207974
2025_07_07_15_19_07_0255,9.760324,-4.105485,1.603191,0.139679,-5.696866,1.751110
2025_07_07_15_19_07_0282,13.904693,-3.406183,1.406980,0.326094,-4.697944,2.310224
2025_07_07_15_19_07_0315,14.666208,-4.982455,1.205384,-0.081757,-2.921535,1.807567
2025_07_07_15_19_07_0347,12.750155,-7.210173,-1.453042,-0.703720,-2.225005,2.948166
2025_07_07_15_19_07_0382,17.962322,-6.845866,2.201995,-0.061517,-2.004502,4.113397
2025_07_07_15_19_07_0414,18.829720,-7.104888,0.305085,0.343138,-1.035406,4.356137
2025_07_07_15_19_07_0445,20.310278,-6.831509,1.665405,-0.235150,0.168041,5.046275
2025_07_07_15_19_07_0465,21.637098,-4.781458,0.668794,-0.629153,0.974289,4.970644
2025_07_07_15_19_07_0487,20.549561,-2.883950,0.079561,-0.450327,0.311847,4.235766
2025_07_07_15_19_07_0510,17.833109,-3.152544,2.528017,0.462444,-0.725424,3.461608
2025_07_07_15_19_07_0533,16.242479,-3.703491,1.694118,0.885209,-0.444335,3.325258
2025_07_07_15_19_07_0558,18.551554,-3.118446,-0.538385,0.821295,-0.095072,3.219800
2025_07_07_15_19_07_0588,17.306089,-0.004786,-3.403192,-0.416240,0.692002,2.236856
2025_07_07_15_19_07_0610,14.355142,1.399203,-0.993620,-1.362966,0.475893,1.726610
2025_07_07_15_19_07_0635,11.547164,3.445066,2.379662,-1.331009,0.844330,1.595719
2025_07_07_15_19_07_0666,12.922439,5.801997,-0.748953,-0.009321,0.524760,1.360303
2025_07_07_15_19_07_0691,15.217155,7.124629,-1.477568,0.729685,-0.404922,0.555120
2025_07_07_15_19_07_0724,15.653248,5.691927,-0.916451,0.525293,-0.802120,-0.664306
2025_07_07_15_19_07_0746,16.342979,4.456034,0.884746,-0.003995,-0.511445,-1.279877
2025_07_07_15_19_07_0768,17.502302,2.395814,1.181456,-0.572696,0.619566,-2.115819
2025_07_07_15_19_07_0789,15.255441,0.148953,1.066601,-0.704785,1.017963,-2.751630
2025_07_07_15_19_07_0811,14.167903,-2.021337,1.359123,-0.290542,0.849656,-2.995569
2025_07_07_15_19_07_0833,14.460425,-2.864807,1.708475,0.606251,0.319304,-3.255352
2025_07_07_15_19_07_0854,13.933406,-3.664608,0.832104,1.145126,0.154192,-3.486508
2025_07_07_15_19_07_0878,12.774084,-4.469793,-0.169292,1.163234,0.146736,-3.565335
2025_07_07_15_19_07_0902,13.042080,-5.015954,-0.116650,0.716902,0.564174,-3.364006
2025_07_07_15_19_07_0922,12.845868,-4.575077,-0.423530,0.319703,0.963636,-3.376789
2025_07_07_15_19_07_0947,12.165111,-4.522435,-0.887737,0.351660,0.457784,-3.602618
2025_07_07_15_19_07_0969,10.555339,-4.872385,2.048854,1.299584,-0.280289,-3.672924
2025_07_07_15_19_07_0992,10.306485,-4.733003,0.362513,1.707435,-0.156722,-3.463073
2025_07_07_15_19_08_0020,9.037093,-4.791029,-1.323829,1.212235,0.052995,-3.206352
2025_07_07_15_19_08_0047,9.501899,-3.803990,-2.124228,0.448596,0.417305,-3.093570
2025_07_07_15_19_08_0068,7.814959,-5.447261,-2.574677,-0.083887,0.442871,-3.063743
2025_07_07_15_19_08_0092,6.823134,-7.042675,-0.945763,-0.235150,0.305456,-2.542978
2025_07_07_15_19_08_0113,9.540184,-7.353742,-2.100300,0.109852,-0.050332,-2.159494
2025_07_07_15_19_08_0135,10.517054,-9.193823,-2.703890,0.011984,-0.282420,-2.067883
2025_07_07_15_19_08_0158,8.696713,-13.486547,-2.406581,-0.721829,0.001864,-1.646184
2025_07_07_15_19_08_0179,10.129416,-18.268005,-2.071586,-1.174419,0.136084,-0.290409
2025_07_07_15_19_08_0200,11.767901,-16.639090,-0.308076,-1.117962,0.173367,0.807580
2025_07_07_15_19_08_0223,10.373485,-12.614363,0.079561,-0.611044,0.094539,1.438065
2025_07_07_15_19_08_0248,10.938788,-7.703692,-0.452243,0.519967,-0.384682,2.149507
2025_07_07_15_19_08_0270,12.376277,-6.347560,-2.952743,1.279345,-0.712774,2.296509
2025_07_07_15_19_08_0303,10.134202,-6.342774,-4.409374,0.286681,-0.635012,2.440182
2025_07_07_15_19_08_0325,9.099306,-6.136992,-2.440081,-0.751655,-0.363378,2.797036
2025_07_07_15_19_08_0351,8.730213,-5.542974,-1.587638,-1.369357,-0.079094,3.159082
2025_07_07_15_19_08_0379,9.156734,-4.670790,-0.581456,-1.947645,0.071104,3.560541
2025_07_07_15_19_08_0401,10.579865,-3.324827,1.924428,-1.735664,-0.254724,3.621260
2025_07_07_15_19_08_0426,10.656436,-1.920838,1.368695,-0.454588,-0.330355,3.507413
2025_07_07_15_19_08_0457,14.120047,-1.441676,-1.304687,0.534880,-0.927818,3.564802
2025_07_07_15_19_08_0481,14.249259,-0.866800,-0.677169,0.139679,-0.395335,3.499956
2025_07_07_15_19_08_0504,13.420744,1.289133,-1.798206,0.032223,-0.396400,3.464803
2025_07_07_15_19_08_0534,13.272389,3.967300,-0.164507,-0.651523,-0.252593,2.870537
2025_07_07_15_19_08_0559,11.930614,3.133401,0.649651,-0.795330,-0.033289,2.372008
2025_07_07_15_19_08_0581,12.553346,2.539383,1.378266,-0.419436,-0.042876,2.171877
2025_07_07_15_19_08_0602,15.495321,2.271387,0.405583,-0.193606,-0.055658,1.886395
2025_07_07_15_19_08_0624,16.304693,1.921437,-0.150150,-0.383218,0.117975,1.326215
2025_07_07_15_19_08_0647,15.686747,2.304886,-0.950549,-0.574826,0.219172,1.019561
2025_07_07_15_19_08_0669,15.796817,3.267399,-0.001795,-0.366174,0.021038,0.584946
2025_07_07_15_19_08_0692,19.409380,1.222134,0.074776,0.635012,-0.548728,0.046071
2025_07_07_15_19_08_0715,24.698715,0.359522,-0.686740,1.570020,-1.269758,-0.299996
2025_07_07_15_19_08_0737,27.333811,2.649453,-0.193220,1.167495,-1.026885,-1.189333
2025_07_07_15_19_08_0760,24.593431,2.985046,-0.193220,-0.056191,-0.050332,-2.574801
2025_07_07_15_19_08_0783,19.744974,-0.651446,0.396012,-0.906114,0.706915,-3.550422
2025_07_07_15_19_08_0806,16.850855,-3.717848,0.577867,-0.928484,1.104247,-3.761338
2025_07_07_15_19_08_0835,14.398212,-4.603791,0.649651,-0.178693,1.228746,-3.766664
2025_07_07_15_19_08_0858,14.191831,-4.393222,0.012562,0.525293,0.915701,-3.901815
2025_07_07_15_19_08_0882,11.307881,-5.892924,0.228515,1.088668,0.618501,-3.978512
2025_07_07_15_19_08_0915,9.592826,-5.562116,0.147159,1.375083,0.434349,-3.545095
2025_07_07_15_19_08_0939,10.914861,-4.067200,-0.658026,1.339930,0.466306,-3.469464
2025_07_07_15_19_08_0963,10.013963,-5.202595,-1.649851,1.120625,0.233020,-3.797423
2025_07_07_15_19_08_0995,7.268797,-8.762517,0.036491,1.059907,-0.040745,-3.383180
2025_07_07_15_19_09_0026,8.825927,-8.302496,-1.472782,0.968297,-0.103594,-2.734586
2025_07_07_15_19_09_0048,5.784050,-10.515858,-2.301297,0.352725,-0.187614,-2.729260
