时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_12_17_43_04_0812,3.388237,8.039286,1.210170,-0.234618,-0.855648,0.704119
2025_07_12_17_43_04_0839,5.132006,8.667402,2.417947,-0.249531,-0.504122,0.487877
2025_07_12_17_43_04_0863,3.560520,7.862217,1.526621,-0.125964,-0.259251,0.366440
2025_07_12_17_43_04_0885,3.004787,7.761718,1.186242,-0.144073,-0.386946,0.509181
2025_07_12_17_43_04_0908,2.956931,7.685148,1.478764,-0.342206,-0.215577,0.583748
2025_07_12_17_43_04_0940,3.038286,7.895717,2.350948,-0.421033,-0.076031,0.680684
2025_07_12_17_43_04_0963,2.583650,7.747362,1.229911,-0.246335,-0.227294,0.729685
2025_07_12_17_43_04_0985,3.019144,7.632506,1.991427,-0.258053,-0.350728,0.824490
2025_07_12_17_43_05_0015,2.391626,6.789036,1.512264,-0.241009,-0.223033,1.034208
2025_07_12_17_43_05_0038,2.171487,5.916852,0.698106,-0.045139,-0.442338,1.313299
2025_07_12_17_43_05_0070,2.276771,4.867599,-1.333400,0.133820,-0.778952,1.329278
2025_07_12_17_43_05_0096,0.695713,1.595415,-3.043670,0.111450,-1.333805,1.633801
2025_07_12_17_43_05_0117,0.777069,-0.981655,-3.652644,0.165777,-1.594654,2.125939
2025_07_12_17_43_05_0151,5.424529,-3.329613,-5.257629,0.252061,-1.590393,3.342169
2025_07_12_17_43_05_0176,8.562716,-6.184848,-7.456634,-0.636210,-1.454176,3.230319
2025_07_12_17_43_05_0206,10.076775,-13.045669,-5.621338,-1.568023,-2.036726,4.449745
2025_07_12_17_43_05_0229,17.081165,-12.130414,-3.340979,-1.169759,-2.488251,5.573299
2025_07_12_17_43_05_0249,24.253052,-9.840483,-4.092923,-1.350716,-2.625666,5.549864
2025_07_12_17_43_05_0274,22.988445,-13.773685,-1.783849,-2.290118,-2.453099,5.484885
2025_07_12_17_43_05_0297,28.598417,-9.988838,4.770092,-2.015288,-2.416881,7.017356
2025_07_12_17_43_05_0319,36.949368,4.125226,4.094718,-1.562697,-1.687329,6.759703
2025_07_12_17_43_05_0339,31.295727,10.521241,3.246462,-2.003570,-1.329544,5.193011
2025_07_12_17_43_05_0360,27.563522,12.461821,7.984849,-1.996114,-1.393458,4.808595
2025_07_12_17_43_05_0385,29.571100,20.108086,8.152347,-0.905581,-1.368958,3.984238
2025_07_12_17_43_05_0407,26.184059,25.205395,8.554939,-0.753253,-0.693733,2.025807
2025_07_12_17_43_05_0430,17.282162,24.961329,8.904889,-1.074953,0.482018,0.631683
2025_07_12_17_43_05_0450,15.868602,26.264219,8.900104,-1.045127,0.908111,-0.057389
2025_07_12_17_43_05_0475,22.825134,28.415367,14.467006,0.275496,0.310515,-1.669753
2025_07_12_17_43_05_0497,30.055048,26.331818,15.243477,1.070027,1.751509,-4.167192
2025_07_12_17_43_05_0520,35.013577,16.864614,14.146367,1.338332,3.250026,-6.200322
2025_07_12_17_43_05_0542,51.073006,12.308082,19.512272,2.066818,4.488626,-6.559172
2025_07_12_17_43_05_0572,81.774117,8.111669,17.116459,3.837901,4.882629,-9.180179
2025_07_12_17_43_05_0595,78.434334,-10.271790,15.559329,5.877423,1.444855,-13.031261
2025_07_12_17_43_05_0618,61.062443,-20.960527,3.438486,4.574910,2.691977,-13.249501
2025_07_12_17_43_05_0640,30.381071,-23.557339,-9.071191,3.278787,2.044448,-11.884139
2025_07_12_17_43_05_0663,16.419548,-19.484755,1.981855,2.930589,-1.154846,-8.350494
2025_07_12_17_43_05_0685,14.282759,-18.526430,2.662015,0.590672,1.636464,-6.820155
2025_07_12_17_43_05_0706,6.890731,-23.944977,5.440681,0.738739,1.730205,-5.279028
2025_07_12_17_43_05_0731,0.259621,-38.802013,-9.099904,2.801696,0.113580,-4.710327
2025_07_12_17_43_05_0751,-7.089335,-48.000622,-9.387043,1.213700,-1.125019,-1.790124
2025_07_12_17_43_05_0774,-0.387039,-47.013580,-5.506483,-0.162182,-0.126097,2.189720
2025_07_12_17_43_05_0803,-0.942772,-47.612984,-8.065009,-1.112236,-0.117575,5.505124
2025_07_12_17_43_05_0831,7.776674,-53.447880,-4.481159,-0.048335,-2.159094,8.979115
2025_07_12_17_43_05_0854,31.305298,-55.738411,-3.355335,0.388411,-1.762961,12.659761
2025_07_12_17_43_05_0886,82.919083,-30.230921,-9.353543,-1.093062,-0.570166,13.497967
2025_07_12_17_43_05_0909,82.626556,-20.342581,1.800001,-3.564935,0.158320,12.596913
2025_07_12_17_43_05_0929,83.325859,-12.096915,3.318247,-1.712895,-2.192116,12.359499
2025_07_12_17_43_05_0952,99.864456,9.716655,3.236891,-0.804384,-2.973864,12.536195
2025_07_12_17_43_05_0977,93.042519,40.972900,2.283351,-4.789687,0.723826,8.003629
2025_07_12_17_43_05_0999,49.889755,36.488750,10.782657,-6.447855,0.036884,4.170654
2025_07_12_17_43_06_0029,15.303297,40.062431,25.553551,-2.330597,-2.307162,2.140852
2025_07_12_17_43_06_0052,10.378270,44.934818,25.500910,-0.626623,-0.637276,0.844730
2025_07_12_17_43_06_0074,9.626326,45.001816,19.751554,-0.105724,0.810110,-1.781602
2025_07_12_17_43_06_0099,11.001002,32.809189,21.528824,0.393737,2.130732,-4.124582
2025_07_12_17_43_06_0132,37.840096,27.720850,16.445869,1.776010,2.818607,-7.264224
2025_07_12_17_43_06_0155,55.897533,17.185253,20.848663,2.272408,4.101946,-10.022644
2025_07_12_17_43_06_0180,78.884781,9.280562,18.232710,3.316070,5.469439,-10.443278
2025_07_12_17_43_06_0208,106.395065,0.393021,8.837891,4.258535,6.347058,-13.390112
2025_07_12_17_43_06_0232,86.454475,-12.690933,5.948557,5.254395,3.613137,-13.591441
2025_07_12_17_43_06_0268,39.153160,-18.104694,-5.746364,4.713390,-0.662841,-11.062045
2025_07_12_17_43_06_0296,21.138794,-25.942984,-1.381257,-0.577623,3.341636,-9.220657
2025_07_12_17_43_06_0318,13.947763,-39.080177,0.798605,0.727022,3.260678,-7.321746
2025_07_12_17_43_06_0343,-5.187640,-58.340008,-14.106288,1.838858,0.672695,-5.104464
2025_07_12_17_43_06_0365,-4.737191,-62.120068,-2.646462,0.128494,-0.907845,0.583748
2025_07_12_17_43_06_0386,4.686941,-57.870415,-4.950750,-0.917299,-0.088814,4.469984
2025_07_12_17_43_06_0408,2.367698,-57.750774,-7.734201,-2.007831,-0.089879,6.717093
2025_07_12_17_43_06_0431,12.376277,-64.209000,-7.470991,-2.326336,-1.167629,10.876962
2025_07_12_17_43_06_0454,40.791645,-61.588264,-5.501698,-1.349650,-3.293434,14.148691
2025_07_12_17_43_06_0476,72.192055,-50.233124,0.515653,-0.095072,-3.661872,15.318051
2025_07_12_17_43_06_0499,93.918884,-35.980274,-2.387439,-1.539262,-0.678820,14.805807
2025_07_12_17_43_06_0521,98.714699,-20.577078,3.241677,-3.580914,-1.126084,14.066669
2025_07_12_17_43_06_0543,101.589676,-6.807580,12.291930,-1.301715,-2.941907,12.597979
2025_07_12_17_43_06_0564,112.407631,20.759531,13.398610,-1.591458,0.176429,10.576698
