时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_15_48_19_0986,-1.512862,4.566104,5.067400,0.343405,-0.264045,0.339010
2025_07_02_15_48_20_0012,-0.957129,4.316652,6.346364,0.563775,-0.875355,0.285749
2025_07_02_15_48_20_0037,-1.076770,4.297510,6.480362,0.814104,-0.909443,0.271901
2025_07_02_15_48_20_0058,-0.784846,5.222335,4.420142,0.830083,-0.995727,0.218639
2025_07_02_15_48_20_0079,-0.947558,5.361119,2.456233,0.699059,-1.291728,0.136616
2025_07_02_15_48_20_0102,-1.086342,4.786243,0.563510,0.359383,-1.595320,0.166443
2025_07_02_15_48_20_0122,1.203590,3.967300,-0.825524,0.107988,-3.113942,0.149399
2025_07_02_15_48_20_0146,2.238486,1.978864,-0.902094,0.985607,-5.309920,-0.126363
2025_07_02_15_48_20_0174,3.565306,0.460020,0.817747,1.389197,-6.659304,0.390142
2025_07_02_15_48_20_0205,5.668597,-1.274178,0.089133,-0.595998,-5.074637,0.930082
2025_07_02_15_48_20_0238,10.062417,-4.560720,0.860818,-0.604520,-6.084211,0.978017
2025_07_02_15_48_20_0269,11.973684,-7.224530,5.364110,1.158041,-7.298311,1.411434
2025_07_02_15_48_20_0290,11.940185,-9.663414,3.150749,1.330609,-6.232279,2.468944
2025_07_02_15_48_20_0316,16.031912,-11.608181,1.013959,0.263512,-4.725241,4.044157
2025_07_02_15_48_20_0347,21.416960,-11.383256,1.488336,-1.642856,-2.975462,4.851470
2025_07_02_15_48_20_0369,21.354746,-11.071590,2.005784,-2.843107,-1.892386,5.027101
2025_07_02_15_48_20_0389,20.334208,-10.674382,2.484946,-3.129655,-1.694253,5.031362
2025_07_02_15_48_20_0414,18.681364,-9.461819,2.992823,-2.991174,-1.698514,5.186886
2025_07_02_15_48_20_0434,19.217955,-8.201998,3.308676,-2.780258,-1.548449,5.142146
2025_07_02_15_48_20_0459,18.192631,-7.775477,2.825325,-2.541646,-1.501579,4.851470
2025_07_02_15_48_20_0479,18.364914,-7.679764,2.800799,-2.584255,-1.385469,4.763056
2025_07_02_15_48_20_0502,18.848862,-7.267601,3.270390,-2.849498,-1.079747,4.573445
2025_07_02_15_48_20_0525,20.075184,-6.165706,4.056433,-3.138176,-0.596264,4.163463
2025_07_02_15_48_20_0549,19.270597,-6.223134,4.396214,-2.902760,-0.670830,3.391303
2025_07_02_15_48_20_0570,18.216558,-5.979065,4.837091,-2.126338,-1.092530,3.035648
2025_07_02_15_48_20_0591,18.043678,-5.337191,4.822734,-1.736596,-1.270424,2.926994
2025_07_02_15_48_20_0612,18.053249,-1.997409,5.158328,-0.385082,-1.672948,2.534988
2025_07_02_15_48_20_0637,20.468204,2.127219,2.983252,1.208107,-2.206630,2.473205
2025_07_02_15_48_20_0662,21.076580,9.213564,5.488537,1.223021,-2.142716,1.592523
2025_07_02_15_48_20_0692,24.176481,10.995618,8.224730,0.646863,-0.155391,0.107855
2025_07_02_15_48_20_0715,20.429920,5.816354,6.456434,0.308252,1.169493,-1.459769
2025_07_02_15_48_20_0738,17.018951,2.817549,3.500700,0.777886,1.514495,-1.980535
2025_07_02_15_48_20_0760,18.038891,1.293919,1.306481,1.488264,1.266429,-2.397041
2025_07_02_15_48_20_0785,20.382063,-1.542772,0.074776,1.923811,0.732880,-3.095567
2025_07_02_15_48_20_0818,21.934406,-6.184848,1.718047,1.853505,0.570965,-3.801683
2025_07_02_15_48_20_0848,22.557138,-8.077571,1.756930,1.528743,1.271755,-4.262796
2025_07_02_15_48_20_0870,21.637098,-8.796016,0.745962,1.428611,1.530474,-4.747477
2025_07_02_15_48_20_0891,19.692331,-9.950553,1.138385,1.615026,1.495321,-5.081827
2025_07_02_15_48_20_0916,17.033308,-10.448858,-0.552742,1.799179,1.500647,-5.138285
2025_07_02_15_48_20_0940,14.158332,-10.717453,-1.127618,1.524482,1.360169,-4.940151
2025_07_02_15_48_20_0974,10.780863,-11.651252,0.214158,1.678940,0.970294,-4.301145
2025_07_02_15_48_21_0006,10.129416,-10.362717,-1.726422,2.254033,0.167375,-3.631246
2025_07_02_15_48_21_0039,9.094521,-9.442677,-0.911665,1.640592,-0.251262,-3.140307
2025_07_02_15_48_21_0062,7.896913,-9.792626,-0.624527,0.989868,-0.061650,-2.792109
2025_07_02_15_48_21_0085,7.034300,-9.960124,-0.217149,0.656450,0.012916,-2.415016
2025_07_02_15_48_21_0114,6.449853,-10.468000,0.846461,0.636210,-0.143673,-1.812228
2025_07_02_15_48_21_0137,4.447061,-11.709277,-0.351147,0.931280,-0.322632,-1.554574
2025_07_02_15_48_21_0162,0.647857,-13.141382,-1.726422,0.871627,-0.645265,-0.798392
2025_07_02_15_48_21_0182,0.350549,-12.662219,-1.328615,0.618101,-0.646330,0.272966
2025_07_02_15_48_21_0209,4.408776,-10.520643,-2.665604,0.507450,-0.784810,1.424217
2025_07_02_15_48_21_0237,6.660422,-9.428319,-1.817349,-0.462844,-0.548329,1.947113
2025_07_02_15_48_21_0262,7.264011,-9.716056,0.141775,-1.375482,0.066178,2.540314
2025_07_02_15_48_21_0297,11.183455,-9.452248,-0.207577,-1.442592,0.049134,3.074928
2025_07_02_15_48_21_0328,12.745370,-9.754341,-0.384646,-1.126351,-0.257653,3.344432
2025_07_02_15_48_21_0353,14.100904,-9.351749,-0.916451,-1.085872,-0.353524,3.649089
2025_07_02_15_48_21_0382,14.522639,-8.513663,-0.087936,-1.372286,-0.249131,3.947221
2025_07_02_15_48_21_0406,14.422140,-7.219744,-0.145364,-1.640725,-0.103194,4.107006
2025_07_02_15_48_21_0428,15.236299,-5.030312,0.434297,-1.902773,-0.111716,4.039896
2025_07_02_15_48_21_0453,14.498711,-4.182056,0.932603,-2.052837,-0.076564,3.795958
2025_07_02_15_48_21_0486,15.748960,-4.479364,1.708475,-2.082664,-0.069107,3.605414
2025_07_02_15_48_21_0515,17.492729,-4.100700,1.636691,-0.879217,-0.447132,3.333780
2025_07_02_15_48_21_0539,17.536400,-2.855236,-1.098904,-0.003861,-1.094660,3.383846
2025_07_02_15_48_21_0563,18.681364,-0.004786,-1.055833,-0.207188,-1.463231,3.539370
2025_07_02_15_48_21_0584,19.476379,1.365704,0.338584,-0.678021,-1.226749,3.507413
2025_07_02_15_48_21_0606,22.231117,5.117051,2.259423,-1.277614,-0.690005,2.996234
2025_07_02_15_48_21_0628,22.758137,7.488338,5.407181,-1.289331,-0.383351,1.878938
2025_07_02_15_48_21_0649,20.358135,8.327023,6.902097,-1.112503,0.213047,0.806515
2025_07_02_15_48_21_0672,17.406588,5.950352,6.111867,-0.509714,0.630618,-0.204125
2025_07_02_15_48_21_0696,15.466607,2.989832,3.975077,0.533948,0.444202,-0.735543
