时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_15_49_55_0923,12.721441,-7.588837,5.608776,-0.776954,-5.184356,2.084528
2025_07_02_15_49_55_0944,15.610177,-7.167102,9.637691,-0.558715,-4.870112,2.266683
2025_07_02_15_49_55_0973,15.078372,-6.841080,8.813962,0.151663,-4.699675,2.832188
2025_07_02_15_49_56_0000,18.173489,-4.551149,7.505686,0.783213,-4.451609,3.328454
2025_07_02_15_49_56_0023,17.943178,-2.711666,6.087939,0.964302,-4.075582,3.033517
2025_07_02_15_49_56_0045,18.312271,-0.905085,4.851448,1.245391,-4.076647,2.977060
2025_07_02_15_49_56_0068,19.462023,2.036292,4.947161,1.220890,-3.660274,2.479596
2025_07_02_15_49_56_0091,17.497515,3.814159,6.025127,0.502124,-2.489849,1.604241
2025_07_02_15_49_56_0114,15.504892,5.476573,5.862415,0.661776,-1.754971,0.758579
2025_07_02_15_49_56_0136,14.714065,5.720641,5.402395,1.293326,-1.677209,0.088681
2025_07_02_15_49_56_0158,16.468004,5.174479,5.335396,1.408371,-1.178813,-0.387345
2025_07_02_15_49_56_0179,20.367706,3.818945,5.642276,1.370023,-0.617569,-0.968829
2025_07_02_15_49_56_0202,22.437498,1.231705,6.198009,1.466959,-0.089346,-2.460821
2025_07_02_15_49_56_0223,19.471594,-3.482753,5.397610,1.738460,0.278026,-3.476921
2025_07_02_15_49_56_0244,20.099112,-5.571688,4.324429,1.972812,0.547530,-3.685573
2025_07_02_15_49_56_0266,22.111475,-6.587441,2.849254,2.054835,0.956446,-4.218190
2025_07_02_15_49_56_0294,21.469601,-8.173284,0.990030,2.033530,1.119427,-4.966782
2025_07_02_15_49_56_0316,20.554346,-9.528818,0.606581,1.840723,1.105579,-5.261852
2025_07_02_15_49_56_0337,21.100508,-10.324431,1.435694,1.693854,1.135405,-5.401397
2025_07_02_15_49_56_0369,20.338993,-12.039487,1.104886,1.823679,1.334604,-5.621768
2025_07_02_15_49_56_0392,19.581665,-12.235699,0.443869,1.844984,1.202515,-5.643072
2025_07_02_15_49_56_0415,17.871393,-12.652648,0.050847,1.867353,0.893597,-5.745334
2025_07_02_15_49_56_0437,15.308083,-12.835101,-0.241077,1.897180,0.524095,-5.698464
2025_07_02_15_49_56_0457,11.288739,-13.788042,-1.759921,1.916354,0.234351,-5.594071
2025_07_02_15_49_56_0480,5.663811,-13.395619,-2.727818,1.735265,-0.203326,-4.799674
2025_07_02_15_49_56_0504,6.123831,-10.558928,-2.172085,1.232608,-0.437544,-3.444964
