时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_11_17_13_01_0726,7.158727,-0.129212,1.502693,0.252194,-0.046204,0.224498
2025_07_11_17_13_01_0756,5.692525,-0.167498,0.501296,0.473629,-0.097336,0.135018
2025_07_11_17_13_01_0778,5.443672,0.023928,0.376870,0.454455,-0.070705,0.203193
2025_07_11_17_13_01_0800,5.592027,0.297308,0.132203,0.290542,-0.018508,0.272433
2025_07_11_17_13_01_0822,6.674779,0.762114,0.506082,0.219172,-0.080292,0.306521
2025_07_11_17_13_01_0846,7.422536,1.082752,0.990030,0.250063,-0.116510,0.113714
2025_07_11_17_13_01_0871,8.011768,0.924826,1.133600,0.405454,-0.196402,0.092409
2025_07_11_17_13_01_0900,9.314660,1.351347,0.990030,0.369370,-0.251794,0.157388
2025_07_11_17_13_01_0922,11.212169,2.074577,0.515653,0.339543,-0.285882,0.082822
2025_07_11_17_13_01_0947,12.102897,0.369093,1.766501,0.026365,-0.335815,0.103061
2025_07_11_17_13_01_0982,14.690136,0.359522,1.823929,0.464042,-0.213446,0.143540
2025_07_11_17_13_02_0013,14.398212,-0.057428,0.041276,0.446998,-0.517970,0.146736
2025_07_11_17_13_02_0034,13.813766,0.287737,0.050847,-0.117442,-0.398663,0.196802
2025_07_11_17_13_02_0057,13.420744,-0.224925,-0.140578,-0.622229,-0.289078,0.248998
2025_07_11_17_13_02_0080,12.438490,-0.210568,-0.154935,-0.689339,-0.596797,0.274564
2025_07_11_17_13_02_0103,11.005788,-0.479163,1.104886,-0.893731,-0.741669,0.261781
2025_07_11_17_13_02_0124,9.439087,-2.016551,2.427519,-1.102516,-0.270969,0.254324
2025_07_11_17_13_02_0144,9.875179,-1.997409,2.341377,-0.715970,0.018775,0.315043
2025_07_11_17_13_02_0172,10.502697,-2.199004,0.060419,0.304390,-0.266708,-0.068308
2025_07_11_17_13_02_0200,10.062417,-2.553142,-1.180260,0.439542,-0.339010,-0.227028
2025_07_11_17_13_02_0223,9.343374,-2.716452,-0.485743,-0.080159,0.050732,-0.155657
2025_07_11_17_13_02_0248,9.611969,-1.762912,0.448654,-0.318638,0.329690,-0.071504
2025_07_11_17_13_02_0272,8.193623,-0.933799,0.022134,0.098800,0.181755,-0.224897
2025_07_11_17_13_02_0301,6.631708,-0.244068,-0.744168,0.376826,-0.037683,-0.314377
2025_07_11_17_13_02_0324,5.788836,-0.076570,-0.792024,0.204258,0.052862,-0.295203
2025_07_11_17_13_02_0350,6.071189,0.311665,-0.279362,-0.122768,0.176429,-0.163114
2025_07_11_17_13_02_0379,6.684350,0.574876,0.214158,0.003995,0.160451,-0.185484
2025_07_11_17_13_02_0401,6.909873,0.776471,-0.193220,0.153127,0.061384,-0.198266
2025_07_11_17_13_02_0426,6.756135,0.263809,0.750748,0.272433,0.027297,-0.156722
2025_07_11_17_13_02_0457,7.786245,0.335593,-0.605384,0.762307,-0.119706,-0.043808
2025_07_11_17_13_02_0482,9.932607,1.174278,-2.487937,0.944462,-0.429555,-0.048069
2025_07_11_17_13_02_0504,10.780863,0.287737,-2.310869,0.092409,-0.142075,-0.148201
2025_07_11_17_13_02_0525,11.193027,-1.000798,0.386441,-0.821428,0.313711,0.150997
2025_07_11_17_13_02_0556,13.281960,-0.503091,2.039283,-0.420900,0.260583,0.389609
2025_07_11_17_13_02_0584,13.583456,0.072383,1.627119,0.140344,0.090145,0.235150
2025_07_11_17_13_02_0605,12.462419,-0.565304,0.879961,0.108387,0.252061,0.198932
2025_07_11_17_13_02_0627,12.701701,-1.479961,0.453440,-0.036484,0.414908,0.450327
2025_07_11_17_13_02_0657,13.530814,-0.239282,-0.882952,0.095605,0.216908,0.504654
2025_07_11_17_13_02_0683,12.946367,-0.972084,0.089133,0.192541,0.078428,0.370435
2025_07_11_17_13_02_0705,11.734403,-2.476571,0.050847,0.545000,-0.218772,0.234085
2025_07_11_17_13_02_0727,11.336596,-3.621537,-0.595813,0.557783,-0.408251,0.338478
2025_07_11_17_13_02_0752,12.203994,-2.946163,-0.332004,0.195737,-0.274164,0.316108
2025_07_11_17_13_02_0783,9.717253,-2.663810,1.311267,-0.201595,-0.033422,0.206389
2025_07_11_17_13_02_0815,7.072586,-2.040479,0.717249,0.386413,-0.104792,0.229824
2025_07_11_17_13_02_0837,6.862017,-0.565304,-0.087936,0.645132,-0.246468,0.158453
2025_07_11_17_13_02_0860,5.793622,-0.354138,-0.346361,0.448064,-0.165511,-0.021438
2025_07_11_17_13_02_0880,5.319245,-0.301496,-0.092722,0.307586,-0.016378,-0.015180
2025_07_11_17_13_02_0902,4.859225,-0.373280,-0.327219,0.195737,0.049666,0.003995
2025_07_11_17_13_02_0925,5.233103,-0.181855,0.012562,0.223433,-0.045139,0.083887
2025_07_11_17_13_02_0948,6.061618,0.052642,0.276371,0.248998,-0.129293,0.092409
2025_07_11_17_13_02_0971,7.048657,-0.105284,0.750748,0.256455,-0.170837,0.095605
2025_07_11_17_13_02_0991,8.433503,-0.014357,1.013959,0.264977,-0.164445,0.143540
2025_07_11_17_13_03_0015,9.693324,-0.153141,1.042673,0.276694,-0.144206,0.198932
2025_07_11_17_13_03_0036,11.374881,0.019143,0.798605,0.276694,-0.170837,0.277760
2025_07_11_17_13_03_0061,12.841083,-0.689731,0.577867,0.233020,-0.196402,0.266042
2025_07_11_17_13_03_0084,14.398212,-0.689731,0.223729,0.206389,-0.231555,0.247933
2025_07_11_17_13_03_0116,15.260226,-1.479961,-0.097508,-0.100398,-0.269903,0.017843
2025_07_11_17_13_03_0136,14.718850,-1.350748,0.381655,-0.266441,-0.166576,-0.007723
2025_07_11_17_13_03_0159,13.650455,-1.585843,0.190229,-0.404922,-0.066444,-0.069373
2025_07_11_17_13_03_0182,13.602598,-1.460818,0.060419,-0.336747,-0.164445,-0.023568
2025_07_11_17_13_03_0204,13.008580,-0.627518,0.357727,-0.460314,-0.044074,-0.196136
2025_07_11_17_13_03_0229,10.642078,-1.791626,1.459622,-0.685078,0.423430,-0.365508
2025_07_11_17_13_03_0250,9.247662,-2.232503,0.889532,-0.361247,0.460713,-0.365508
2025_07_11_17_13_03_0271,9.147162,-2.366502,0.195015,0.436346,0.072036,-0.371899
2025_07_11_17_13_03_0294,9.348160,-2.644667,-1.678565,0.927419,-0.234751,-0.400661
2025_07_11_17_13_03_0317,10.043275,-2.409572,-1.802992,0.780416,-0.357119,-0.442205
2025_07_11_17_13_03_0340,9.190233,-2.333002,-1.347757,0.008256,0.161516,-0.372965
2025_07_11_17_13_03_0362,7.959126,-1.734198,-0.379861,-0.433683,0.487344,-0.306920
2025_07_11_17_13_03_0393,5.884549,-1.451247,-0.945763,-0.096137,0.258452,-0.317573
2025_07_11_17_13_03_0418,5.601598,-0.890728,-1.074976,0.155258,0.002796,-0.245137
2025_07_11_17_13_03_0440,5.908477,-0.181855,-1.319044,-0.390008,0.408517,-0.105591
2025_07_11_17_13_03_0473,7.000801,0.211167,-0.835095,-1.494389,1.186004,0.056191
2025_07_11_17_13_03_0497,7.197012,-0.033500,0.079561,-0.919296,0.549128,-0.148201
2025_07_11_17_13_03_0528,7.475178,-0.909871,0.678365,1.285204,-0.876953,-0.285616
2025_07_11_17_13_03_0552,9.376874,0.077169,-0.288933,1.387466,-0.967365,-0.131157
2025_07_11_17_13_03_0581,10.335199,0.268594,-1.390828,0.146736,-0.012117,-0.074699
2025_07_11_17_13_03_0606,10.521839,0.182453,-0.882952,-0.503988,0.223299,0.008256
2025_07_11_17_13_03_0628,11.653047,-0.363709,0.113061,-0.499727,0.245669,0.078561
2025_07_11_17_13_03_0649,13.070794,-0.296710,0.117847,-0.399596,0.121037,0.101996
2025_07_11_17_13_03_0673,13.828122,-0.349352,0.784248,-0.615838,0.312646,0.028495
2025_07_11_17_13_03_0696,13.267603,0.153739,1.550549,-0.989601,0.705717,0.040213
2025_07_11_17_13_03_0718,12.668201,-1.159323,1.392623,-0.864969,0.797327,0.007190
2025_07_11_17_13_03_0739,12.304492,-0.507877,1.406980,-0.100398,0.283885,-0.021438
2025_07_11_17_13_03_0762,12.074183,-1.188036,1.368695,0.801721,-0.354989,-0.131157
2025_07_11_17_13_03_0784,11.542378,-1.293321,0.784248,1.231942,-0.474295,-0.139679
2025_07_11_17_13_03_0807,11.806187,-1.298106,-0.605384,1.009308,-0.278425,-0.111983
2025_07_11_17_13_03_0828,11.547164,-2.184647,-1.539781,0.457651,-0.088814,-0.111983
2025_07_11_17_13_03_0849,11.758330,-2.371287,-1.156332,0.017843,-0.127162,-0.059786
2025_07_11_17_13_03_0872,10.483554,-2.471786,0.630509,-0.307985,-0.043009,-0.047003
2025_07_11_17_13_03_0897,8.370692,-1.503889,1.776073,-0.184552,0.157255,0.054061
2025_07_11_17_13_03_0917,7.034300,-0.790230,0.879961,-0.007723,0.164712,0.124366
2025_07_11_17_13_03_0939,7.311868,0.148953,0.357727,0.423563,-0.135684,0.142475
2025_07_11_17_13_03_0962,7.187441,0.848256,-0.207577,0.720763,-0.318904,-0.036351
2025_07_11_17_13_03_0985,5.903692,0.321236,-0.183649,0.394802,-0.063248,-0.138613
2025_07_11_17_13_04_0005,5.678168,0.297308,0.376870,0.096670,0.086950,-0.032090
2025_07_11_17_13_04_0027,5.582455,-0.301496,0.372084,0.078561,0.163646,-0.050199
2025_07_11_17_13_04_0050,7.043872,0.096311,0.961317,0.419302,-0.139945,0.045539
2025_07_11_17_13_04_0073,8.073982,0.201595,0.913460,0.618501,-0.265642,-0.134353
2025_07_11_17_13_04_0097,8.734999,-0.349352,1.603191,0.455520,-0.147402,-0.021438
2025_07_11_17_13_04_0130,11.048859,0.110668,0.793819,0.478955,-0.028096,0.051930
2025_07_11_17_13_04_0151,12.783655,0.014357,0.041276,0.504521,-0.172967,0.012516
2025_07_11_17_13_04_0175,14.139189,-0.401994,-0.068794,0.215976,-0.302926,-0.075765
2025_07_11_17_13_04_0206,14.215759,-1.269392,0.812962,-0.450727,-0.015313,0.014647
2025_07_11_17_13_04_0230,13.794622,-0.368495,1.612762,-0.503988,0.060319,0.047669
2025_07_11_17_13_04_0253,12.414562,-0.527019,0.702892,-0.212248,-0.039813,-0.041677
2025_07_11_17_13_04_0286,12.232708,0.383450,-0.274576,-0.172834,-0.225164,-0.077895
2025_07_11_17_13_04_0308,10.929217,0.086740,0.314656,-0.677621,0.123168,-0.262180
2025_07_11_17_13_04_0331,8.868998,-1.178465,1.684547,-0.606251,0.256322,-0.281355
2025_07_11_17_13_04_0363,9.314660,-2.059622,0.765105,0.412911,-0.097336,-0.101330
2025_07_11_17_13_04_0388,9.994821,-1.858625,-0.629312,0.760177,-0.288012,-0.091743
2025_07_11_17_13_04_0416,8.801998,-1.935195,-0.926621,0.444868,-0.125032,-0.043808
2025_07_11_17_13_04_0439,7.441679,-1.417747,-0.796810,0.136084,0.057123,0.076430
2025_07_11_17_13_04_0464,6.330212,-0.479163,-0.955334,0.092409,-0.003595,0.193606
2025_07_11_17_13_04_0486,6.445068,0.326022,-0.610170,0.165910,-0.122901,0.148866
2025_07_11_17_13_04_0509,6.464211,0.460020,-0.284148,0.149932,-0.152728,0.016777
2025_07_11_17_13_04_0541,7.819745,1.001396,0.295514,-0.004527,0.067775,0.019973
2025_07_11_17_13_04_0564,8.849854,1.437488,-0.648455,-0.117442,0.243539,-0.138613
2025_07_11_17_13_04_0587,8.994022,1.303490,-1.893919,-0.194139,0.245669,-0.311181
2025_07_11_17_13_04_0621,8.964710,0.967897,-1.506282,-0.359117,0.137016,-0.532750
2025_07_11_17_13_04_0652,9.242876,0.421735,-0.815953,-0.432618,0.174299,-0.395335
2025_07_11_17_13_04_0675,9.870394,0.488734,-0.059222,-0.464575,0.181755,-0.278159
2025_07_11_17_13_04_0698,10.564910,0.330808,0.117847,-0.383617,0.184951,-0.178027
2025_07_11_17_13_04_0720,12.199208,0.574876,0.329013,-0.397465,0.146603,-0.006658
2025_07_11_17_13_04_0743,12.884153,0.364307,1.464407,-0.526358,0.313711,-0.001332
