时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_11_17_09_38_0853,12.371491,2.951547,3.289533,-0.427558,-0.319703,0.253659
2025_07_11_17_09_38_0883,13.018151,2.237887,2.614159,-0.061251,-0.646730,0.408117
2025_07_11_17_09_38_0911,13.583456,2.391028,3.452843,-0.332885,-0.436879,0.277094
2025_07_11_17_09_38_0938,10.938788,1.475773,4.161717,-0.871760,0.158453,0.356986
2025_07_11_17_09_38_0961,10.148559,1.336990,3.975077,-0.403058,0.179758,0.396400
2025_07_11_17_09_38_0983,9.372088,1.145564,3.448057,0.448863,-0.052463,0.325029
2025_07_11_17_09_39_0005,8.696713,0.699901,1.828715,0.882279,-0.064180,0.273898
2025_07_11_17_09_39_0028,8.734999,0.072383,0.927817,1.080413,-0.065246,0.274963
2025_07_11_17_09_39_0049,9.204591,-0.110070,-0.370289,1.119826,-0.116377,0.306920
2025_07_11_17_09_39_0076,9.985249,0.144168,-1.098904,0.793998,-0.152595,0.273898
2025_07_11_17_09_39_0117,9.588040,0.330808,-0.236291,0.236881,-0.095072,0.119572
2025_07_11_17_09_39_0139,9.195019,0.584447,0.175872,0.056990,0.012516,0.076963
2025_07_11_17_09_39_0161,8.452646,0.853041,-0.001795,0.015446,0.040213,-0.014647
2025_07_11_17_09_39_0186,7.479964,0.757328,-0.102293,0.068708,-0.013049,-0.146736
2025_07_11_17_09_39_0219,6.890731,0.752543,-0.547956,0.241142,-0.141942,-0.203193
2025_07_11_17_09_39_0249,6.833303,0.757328,-0.931406,0.119839,-0.138747,-0.188280
2025_07_11_17_09_39_0272,6.986444,0.742971,-1.079761,-0.179492,0.018908,-0.122235
2025_07_11_17_09_39_0294,7.738389,1.077967,-0.701097,-0.192275,-0.064180,-0.064713
2025_07_11_17_09_39_0317,8.567501,1.389632,-1.419542,0.043142,-0.328225,-0.021038
2025_07_11_17_09_39_0341,10.177273,2.136791,-0.394816,-0.193340,-0.342073,0.001332
